Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2002-05-01,616.8951729153671,15.342048645019531,49.719688415527344,0.512849861968425,1990974.0
2002-06-01,619.9806859267344,14.582629203796387,69.44478607177734,0.5071650256147677,1993624.0
2002-07-01,655.0618802829672,14.582629203796387,75.94477081298828,0.5327503118054836,1996274.0
2002-08-01,643.3720716745609,14.582629203796387,66.33650207519531,0.5279362283810384,1998924.0
2002-09-01,592.9602777614018,14.582629203796387,42.301170349121094,0.492733598111775,2001574.0
2002-10-01,597.597187240548,14.582629203796387,25.492338180541992,0.4987041012247277,2004224.0
2002-11-01,572.8814439770508,14.582629203796387,34.26170349121094,0.47616264669909764,2006874.0
2002-12-01,584.0208303060824,19.065988540649414,37.78996276855469,0.4821660755182009,2009524.0
2003-01-01,596.8139514426897,19.065988540649414,48.601741790771484,0.4923461365060024,2012179.0
2003-02-01,558.8257336620966,19.065988540649414,58.39582824707031,0.4598566245532799,2014824.0
2003-03-01,591.6232170110172,19.065988540649414,41.637027740478516,0.4934612210962438,2017469.0
2003-04-01,565.7036558332846,19.065988540649414,33.25370407104492,0.47561115490381944,2020114.0
2003-05-01,617.9575149585294,19.065988540649414,56.02043533325195,0.5167045393680849,2022759.0
2003-06-01,618.4184118328985,18.986156463623047,70.15422821044922,0.509014513074654,2025404.0
2003-07-01,653.350892902489,18.986156463623047,75.82913208007812,0.5339373324528348,2028049.0
2003-08-01,644.2765995270582,18.986156463623047,68.0259780883789,0.5303712028875139,2030694.0
2003-09-01,599.22109643301,18.986156463623047,48.44172668457031,0.5007858872485785,2033339.0
2003-10-01,608.4554200818867,18.986156463623047,42.09941101074219,0.5103718037584795,2035984.0
2003-11-01,563.8351804080095,18.986156463623047,29.598127365112305,0.4725549240488813,2038629.0
2003-12-01,591.5537306603621,20.524450302124023,55.20243835449219,0.48439604309261836,2041274.0
2004-01-01,570.7008734682015,20.524450302124023,35.95207595825195,0.4872531945822495,2043921.0
2004-02-01,574.8762222034378,20.524450302124023,61.503501892089844,0.4827694467631285,2046611.0
2004-03-01,601.2580021187712,20.524450302124023,58.04933166503906,0.5102277140593596,2049301.0
2004-04-01,568.2757624180613,20.524450302124023,44.111236572265625,0.48532589544252613,2051991.0
2004-05-01,626.8348347018344,20.524450302124023,66.71603393554688,0.5278828876010125,2054681.0
2004-06-01,630.4773786546034,20.58521842956543,75.15638732910156,0.5220201295231715,2057371.0
2004-07-01,657.2908520670019,20.58521842956543,73.54585266113281,0.5397806713964765,2060061.0
2004-08-01,645.7317194368104,20.58521842956543,69.78568267822266,0.5354138758377158,2062751.0
2004-09-01,599.1700440729122,20.58521842956543,55.77085876464844,0.5069319422053807,2065441.0
2004-10-01,591.3369970277512,20.58521842956543,43.625892639160156,0.5041140627282813,2068131.0
2004-11-01,580.401686094549,20.58521842956543,50.138187408447266,0.49153015171169206,2070821.0
2004-12-01,578.4762535621948,21.74275779724121,44.35826873779297,0.48996349181756044,2073511.0
2005-01-01,591.3926769203205,21.74275779724121,55.60614013671875,0.501382271412154,2076203.0
2005-02-01,545.0017713305938,21.74275779724121,56.22061538696289,0.46603695287791275,2080357.0
2005-03-01,590.0922926288227,21.74275779724121,55.593570709228516,0.5102143112641208,2084511.0
2005-04-01,567.5462556226106,21.74275779724121,49.23868179321289,0.49429749914209326,2088665.0
2005-05-01,616.3734775917077,21.74275779724121,65.99710845947266,0.5281245434598616,2092819.0
