Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1974-03-01,286.08189455439714,21.47249984741211,0.0,0.25594722495247213,1180457.0
1974-04-01,270.16091943572104,21.47249984741211,0.0,0.23668250056712986,1182323.0
1974-05-01,295.16814883434995,21.47249984741211,0.0,0.25859082679135914,1184189.0
1974-06-01,287.0339855655935,21.47249984741211,0.0,0.2514646292674251,1186055.0
1974-07-01,293.4730087270113,21.47249984741211,0.0,0.2571057110078019,1187921.0
1974-08-01,289.739912480133,21.47249984741211,0.0,0.2538352660987017,1189787.0
1974-09-01,267.231709860169,21.47249984741211,0.0,0.2341162700774972,1191653.0
1974-10-01,274.530977303252,21.47249984741211,0.0,0.24051102595611204,1193519.0
1974-11-01,270.48913634519425,21.47249984741211,0.0,0.2369700360919291,1195385.0
1974-12-01,266.470987495521,21.47249984741211,0.0,0.23344985085040085,1197251.0
1975-01-01,296.4793472495801,18.63749885559082,0.0,0.2682454272135243,1199126.0
1975-02-01,315.1246903499046,18.63749885559082,0.0,0.28511515689665956,1201356.0
1975-03-01,294.7882411393951,18.63749885559082,0.0,0.26671535539657226,1203586.0
1975-04-01,285.75014243466666,18.63749885559082,0.0,0.24904048637832876,1205816.0
1975-05-01,310.37756426493695,18.63749885559082,0.0,0.2705040831283079,1208046.0
1975-06-01,305.56062212255716,18.63749885559082,0.0,0.2663059561182012,1210276.0
1975-07-01,310.67614304589006,18.63749885559082,0.0,0.2707642912952141,1212506.0
1975-08-01,303.5319762894983,18.63749885559082,0.0,0.26453794335219116,1214736.0
1975-09-01,279.6878158469505,18.63749885559082,0.0,0.243756978309603,1216966.0
1975-10-01,287.8122652141247,18.63749885559082,0.0,0.25083771079391415,1219196.0
1975-11-01,281.8363279887607,18.63749885559082,0.0,0.24562949003264686,1221426.0
1975-12-01,283.12772339611786,18.63749885559082,0.0,0.24675499758520006,1223656.0
1976-01-01,340.6109388332107,16.458749771118164,0.0,0.3067180117196532,1225894.0
1976-02-01,313.57598874448865,16.458749771118164,0.0,0.2823732015195112,1228376.0
1976-03-01,308.84020536893775,16.458749771118164,0.0,0.2781086907501481,1230858.0
1976-04-01,288.3418704493489,16.458749771118164,0.0,0.2499084458565681,1233340.0
1976-05-01,307.89064383867577,16.458749771118164,0.0,0.2668515560728836,1235822.0
1976-06-01,308.057785083469,16.458749771118164,0.0,0.2669963995720478,1238304.0
1976-07-01,321.334042494032,16.458749771118164,0.0,0.2785030339393147,1240786.0
1976-08-01,308.2513182998356,16.458749771118164,0.0,0.2671641256699001,1243268.0
1976-09-01,282.66955147501506,16.458749771118164,0.0,0.2449921705339443,1245750.0
1976-10-01,294.99959743060583,16.458749771118164,0.0,0.25567876854193694,1248232.0
1976-11-01,282.6109726124438,16.458749771118164,0.0,0.24494141312055198,1250714.0
1976-12-01,281.7478770280148,16.458749771118164,0.0,0.24419340786792898,1253196.0
1977-01-01,307.2553317724261,14.647499084472656,0.0,0.27525612834508556,1255680.0
1977-02-01,325.9947670199041,14.647499084472656,0.0,0.2920439010577002,1257983.0
1977-03-01,309.3519546356938,14.647499084472656,0.0,0.277134411141879,1260286.0
1977-04-01,306.79597141270835,14.647499084472656,0.0,0.2748445948877992,1262589.0
1977-05-01,321.35438737062134,14.647499084472656,0.0,0.2878868343471195,1264892.0
1977-06-01,320.48224622098417,14.647499084472656,0.0,0.28710551367683257,1267195.0
1977-07-01,342.5623504330058,14.647499084472656,0.0,0.3068860659111855,1269498.0
1977-08-01,325.8828670916283,14.647499084472656,0.0,0.2919436739411677,1271801.0
1977-09-01,300.9451396824749,14.647499084472656,0.0,0.2696031020165924,1274104.0
1977-10-01,305.8005547995271,14.647499084472656,0.0,0.2739528396035118,1276407.0
1977-11-01,290.94033244441664,14.647499084472656,0.0,0.26064023558679644,1278710.0
1977-12-01,315.279636116105,14.647499084472656,0.0,0.28244471968037876,1281013.0
1978-01-01,328.35218156642026,19.258251190185547,0.0,0.3008733833723724,1283321.0
1978-02-01,336.38532306375697,19.258251190185547,0.0,0.3082342299840688,1285350.0
1978-03-01,310.1831317739376,19.258251190185547,0.0,0.28422484256230757,1287379.0
1978-04-01,306.2802852161612,19.258251190185547,0.0,0.27035187986359016,1289408.0
1978-05-01,324.6128876205343,19.258251190185547,0.0,0.2865340021489854,1291437.0
1978-06-01,331.45986249348647,19.258251190185547,0.0,0.2925777614068596,1293466.0
1978-07-01,338.41014920937556,19.258251190185547,0.0,0.2987127552192234,1295495.0
1978-08-01,332.7492641754603,19.258251190185547,0.0,0.29371589960336075,1297524.0
1978-09-01,310.2318883877764,19.258251190185547,0.0,0.27383993214480695,1299553.0
1978-10-01,306.66390496334463,19.258251190185547,0.0,0.270690464326841,1301582.0
1978-11-01,303.60000989559,19.258251190185547,0.0,0.2679860125674474,1303611.0
1978-12-01,302.9159789451916,19.258251190185547,0.0,0.26738224172330205,1305640.0
1979-01-01,325.6889034439724,17.6564998626709,0.0,0.2974194096985312,1307676.0
1979-02-01,321.75713665095634,17.6564998626709,0.0,0.2938289401814906,1309753.0
1979-03-01,331.21860302020843,17.6564998626709,0.0,0.30246915695503246,1311830.0
1979-04-01,309.01433187432593,17.6564998626709,0.0,0.2821921919226022,1313907.0
1979-05-01,337.1550300003647,17.6564998626709,0.0,0.3078902584316618,1315984.0
1979-06-01,349.8819952187342,17.6564998626709,0.0,0.31951257126134847,1318061.0
1979-07-01,353.7442439729786,17.6564998626709,0.0,0.3230395980985224,1320138.0
1979-08-01,354.95468305078975,17.6564998626709,0.0,0.3241449641088027,1322215.0
1979-09-01,319.35592754468047,17.6564998626709,0.0,0.29163612835847225,1324292.0
1979-10-01,320.7458671003318,17.6564998626709,0.0,0.2929054730974421,1326369.0
1979-11-01,334.0685987612594,17.6564998626709,0.0,0.30507174272217197,1328446.0
