Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Primary Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
2027-04-01,327.27390988004925,8.319611549377441,15.451685905456543,0.3463584222665755,3008568.0,0.17144650733024538,2767308.8257543035,0.0,411006.10523049015,237907.6210718186,2572837.424691934,182468.91546154823,104828.7842008201,12613.685910000011,9783.146163125552,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,370.5176494445986,8.319611549377441,19.231380462646484,0.37891418381396147,3012956.0,0.20113907044538354,3304046.6273204517,0.0,341716.8866361479,166959.26308682375,2851893.169927516,312650.3074029741,234954.82357879973,13351.86105116275,6853.6911175351825,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-01,389.47241348682815,8.319611549377441,25.047039031982422,0.3768306056030134,3017344.0,0.24510014385732315,3582854.7645982997,0.0,282260.8662187104,115399.27298712295,2859110.0037264638,406373.0237595152,406901.73809539806,15763.742216922403,4737.149394816093,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-07-01,399.72563748207983,8.319611549377441,22.955171585083008,0.3875436540335629,3021732.0,0.2438562511763404,3668387.1488906867,0.0,300329.21386240184,127512.0481632867,2943059.8444609586,413100.00017490383,407623.0517103105,13407.787184513421,5225.289591501386,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-08-01,395.7737548411828,8.319611549377441,22.109363555908203,0.38031830250563203,3026120.0,0.25015995683718883,3518605.1893469794,0.0,381288.97612047003,204702.47074700583,2866265.7988277012,385634.08828596876,362014.208971881,13494.627901427652,8388.459808807895,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-09-01,347.80658061288733,8.319611549377441,17.524276733398438,0.3485463673239701,3030508.0,0.2163422065109666,2929201.0977177946,0.0,457124.41311571223,282142.23344016745,2595564.9717577463,253787.46148062916,172546.21647941854,12596.191200000008,11551.817052898004,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-10-01,341.74262066970334,8.319611549377441,15.47987174987793,0.3396045450501925,3034896.0,0.22165989774926784,2700128.3584396704,0.0,584398.2744904954,398601.02846758347,2496130.6204598276,193858.56447997972,105797.89729986318,12998.569530000044,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-11-01,323.2689220553262,8.319611549377441,14.83830738067627,0.3220852865621877,3039284.0,0.219008222881134,2490251.9878037143,0.0,602922.257625623,421208.4758269231,2356561.953874595,141561.8507384381,84489.91229858181,12932.014092101761,17200.87104217467,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-12-01,339.55266451181336,8.319611549377441,85.31818389892578,0.3274004008295065,3043672.0,0.2430622328561765,2567289.144746994,0.0,669771.2715939119,479830.8781603179,2383321.3708281727,150478.93538984592,121894.72505574198,20195.14811323371,19594.831380609874,0.0,194.0,3513.0150402518257,9.0,3.0,1051.1965554283588,0.0,0.0,0.0,0.0
2028-01-01,376.11214109161824,8.430700302124023,65.87159729003906,0.34337319405826205,3048062.0,0.28466684977242945,2845333.373127313,0.0,732878.0833797631,540056.2658821122,2494353.8933843668,216253.8981486268,222588.10404839893,20814.005450316807,22012.87686393086,0.0,194.0,2715.5992957291355,5.0,2.0,869.9513166913575,0.0,0.0,0.0,0.0
