Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Primary Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
2027-01-01,380.89882867219245,8.319756507873535,59.87030029296875,0.3488979106662224,2995404.0,0.32339656750934864,2832883.777967124,0.0,727200.491614944,534378.6741172931,2490206.7102927817,212433.92286495527,218668.40944446,20256.77000492666,22012.87686393086,0.0,194.0,2538.175061460217,5.0,2.0,828.5198782598281,0.0,0.0,0.0,0.0
2027-02-01,327.5396885850752,8.319756507873535,47.394920349121094,0.31862695628304,2999792.0,0.27831383992238873,2525134.3943099817,0.0,568788.7343108587,398746.4218311177,2299524.1680410258,170731.15628059983,136538.90553530565,16533.324773050197,16425.722627626084,0.0,194.0,1288.7312037414313,4.0,0.0,595.3523069589733,0.0,0.0,0.0,0.0
2027-03-01,363.60042507439636,8.319756507873535,62.702571868896484,0.36453316284502685,3004180.0,0.26243195896835037,2946100.4693299755,0.0,534182.8259878191,350420.99665484007,2665952.823315851,220868.52514731933,148807.32970592423,19140.325800880983,14409.878147649953,0.0,194.0,2228.741748805089,6.0,2.0,803.5526396824971,0.0,0.0,0.0,0.0
2027-04-01,327.27390988004925,8.319756507873535,15.451685905456543,0.34633325972504364,3008568.0,0.2172728809359404,2767101.5268555405,0.0,411213.4041292525,238114.9199705809,2572649.948280929,182453.05420391844,104824.82297069364,12613.685910000011,9783.146163125552,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,370.5176494445986,8.319756507873535,19.23344612121582,0.37892805865789236,3012956.0,0.26517020608567016,3304191.8528535627,0.0,341571.6611030385,166814.03755371436,2851997.9008593378,312674.9150916573,234970.71049140536,13351.86105116275,6853.6911175351825,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-01,389.47241348682815,8.319756507873535,25.043256759643555,0.3768244647329974,3017344.0,0.317893476514815,3582754.3875367404,0.0,282361.2435244124,115499.65029282498,2859063.3199708923,406345.559521801,406875.61994308664,15763.63130095968,4737.149394816093,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-07-01,399.72563748207983,8.319756507873535,22.955440521240234,0.3875436540335631,3021732.0,0.31611185100606015,3668387.1488906867,0.0,300329.21386240184,127512.0481632867,2943059.8444609586,413100.00017490383,407623.0517103105,13407.787184513421,5225.289591501386,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-08-01,395.7737548411828,8.319756507873535,22.109683990478516,0.3803031434524476,3026120.0,0.3186047169887711,3518427.4430011213,0.0,381466.72246632667,204880.21709286247,2866151.2240434913,385602.1746614835,361982.9510347184,13494.627901427652,8388.459808807895,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-09-01,347.80658061288733,8.319756507873535,17.524276733398438,0.3485180387787774,3030508.0,0.2719194655074473,2928956.321762234,0.0,457369.1890712743,282387.0093957295,2595353.37121821,253763.1576654982,172537.34487852536,12596.191200000008,11551.817052898004,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-10-01,341.74262066970334,8.319756507873535,15.47987174987793,0.339561969136379,3034896.0,0.265897603523355,2699793.9724864974,0.0,584743.7859493959,398946.53992648394,2495825.155883306,193835.5349822401,105792.00542095202,12998.569530000044,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
