region,year,category,subcategory,scenario,annual_consumption
SA,2013,Operational,,Actual,13413.182
SA,2013,OperationalGen,,Actual,13885.275
SA,2013,SmallNonScheduledGeneration,ONSG generation,Actual,78.556854
SA,2013,SmallNonScheduledGeneration,PVNSG generation,Actual,3.0734408
TAS,2013,AuxiliaryLoads,,Actual,155.49362
TAS,2013,Losses,Distribution losses,Actual,134.70018
TAS,2013,Losses,Transmission losses,Actual,273.16272
TAS,2013,Native,Native,Actual,10538.313
TAS,2013,Operational,,Actual,10062.044
TAS,2013,OperationalGen,,Actual,10217.537
TAS,2013,SmallNonScheduledGeneration,ONSG generation,Actual,476.26993
TAS,2013,SmallNonScheduledGeneration,PVNSG generation,Actual,0
VIC,2013,AuxiliaryLoads,,Actual,3909.293
VIC,2013,Losses,Distribution losses,Actual,2050.7422
VIC,2013,Losses,Transmission losses,Actual,1138.4706
VIC,2013,Native,Native,Actual,47567.48
VIC,2013,Operational,,Actual,46850.645
VIC,2013,OperationalGen,,Actual,50759.938
VIC,2013,SmallNonScheduledGeneration,ONSG generation,Actual,715.3305
VIC,2013,SmallNonScheduledGeneration,PVNSG generation,Actual,1.5051441
NEM,2014,AuxiliaryLoads,,Actual,10727.654
NEM,2014,Losses,Distribution losses,Actual,6922.991
NEM,2014,Losses,Transmission losses,Actual,4102.2104
NEM,2014,Native,Native,Actual,186080.81
NEM,2014,Operational,,Actual,181698.47
NEM,2014,OperationalGen,,Actual,192426.12
NEM,2014,SmallNonScheduledGeneration,ONSG generation,Actual,4329.9976
NEM,2014,SmallNonScheduledGeneration,PVNSG generation,Actual,52.341827
NSW,2014,AuxiliaryLoads,,Actual,3108.9917
NSW,2014,Losses,Distribution losses,Actual,2498.8489
NSW,2014,Losses,Transmission losses,Actual,838.8819
NSW,2014,Native,Native,Actual,68012.875
NSW,2014,Operational,,Actual,66563.59
NSW,2014,OperationalGen,,Actual,69672.586
NSW,2014,SmallNonScheduledGeneration,ONSG generation,Actual,1413.4835
NSW,2014,SmallNonScheduledGeneration,PVNSG generation,Actual,35.80133
QLD,2014,AuxiliaryLoads,,Actual,3242.023
QLD,2014,Losses,Distribution losses,Actual,1605.9368
QLD,2014,Losses,Transmission losses,Actual,1325.0582
QLD,2014,Native,Native,Actual,48114.285
QLD,2014,Operational,,Actual,46435.824
QLD,2014,OperationalGen,,Actual,49677.848
QLD,2014,SmallNonScheduledGeneration,ONSG generation,Actual,1670.4889
QLD,2014,SmallNonScheduledGeneration,PVNSG generation,Actual,7.972288
SA,2014,AuxiliaryLoads,,Actual,432.69427
SA,2014,Losses,Distribution losses,Actual,704.4644
SA,2014,Losses,Transmission losses,Actual,361.55524
SA,2014,Native,Native,Actual,13044.703
SA,2014,Operational,,Actual,12958.969
SA,2014,OperationalGen,,Actual,13391.663
SA,2014,SmallNonScheduledGeneration,ONSG generation,Actual,82.35094
SA,2014,SmallNonScheduledGeneration,PVNSG generation,Actual,3.3838944
TAS,2014,AuxiliaryLoads,,Actual,151.77466
TAS,2014,Losses,Distribution losses,Actual,176.5597
TAS,2014,Losses,Transmission losses,Actual,276.12405
TAS,2014,Native,Native,Actual,10505.299
TAS,2014,Operational,,Actual,10105.31
TAS,2014,OperationalGen,,Actual,10257.084
TAS,2014,SmallNonScheduledGeneration,ONSG generation,Actual,399.98914
TAS,2014,SmallNonScheduledGeneration,PVNSG generation,Actual,0
VIC,2014,AuxiliaryLoads,,Actual,3792.1707
VIC,2014,Losses,Distribution losses,Actual,1937.1814
VIC,2014,Losses,Transmission losses,Actual,1300.5912
VIC,2014,Native,Native,Actual,46403.65
VIC,2014,Operational,,Actual,45634.777
VIC,2014,OperationalGen,,Actual,49426.95
VIC,2014,SmallNonScheduledGeneration,ONSG generation,Actual,763.6849
VIC,2014,SmallNonScheduledGeneration,PVNSG generation,Actual,5.1843123
NEM,2015,AuxiliaryLoads,,Actual,11228.32
NEM,2015,Losses,Distribution losses,Actual,6846.204
NEM,2015,Losses,Transmission losses,Actual,4438.6665
NEM,2015,Native,Native,Actual,185908.36
NEM,2015,Operational,,Actual,181129.14
NEM,2015,OperationalGen,,Actual,192357.47
NEM,2015,SmallNonScheduledGeneration,ONSG generation,Actual,4645.7163
NEM,2015,SmallNonScheduledGeneration,PVNSG generation,Actual,133.49582
NSW,2015,AuxiliaryLoads,,Actual,2879.5818
NSW,2015,Losses,Distribution losses,Actual,2567.6567
NSW,2015,Losses,Transmission losses,Actual,1443.2878
NSW,2015,Native,Native,Actual,69002.38
NSW,2015,Operational,,Actual,67415.11
NSW,2015,OperationalGen,,Actual,70294.695
NSW,2015,SmallNonScheduledGeneration,ONSG generation,Actual,1484.4841
NSW,2015,SmallNonScheduledGeneration,PVNSG generation,Actual,102.78809
QLD,2015,AuxiliaryLoads,,Actual,3586.8962
QLD,2015,Losses,Distribution losses,Actual,1618.7527
QLD,2015,Losses,Transmission losses,Actual,1337.2566
QLD,2015,Native,Native,Actual,50240.06
QLD,2015,Operational,,Actual,48382.934
QLD,2015,OperationalGen,,Actual,51969.832
QLD,2015,SmallNonScheduledGeneration,ONSG generation,Actual,1847.8224
QLD,2015,SmallNonScheduledGeneration,PVNSG generation,Actual,9.300453
SA,2015,AuxiliaryLoads,,Actual,462.30377
SA,2015,Losses,Distribution losses,Actual,656.7282
SA,2015,Losses,Transmission losses,Actual,366.09543
SA,2015,Native,Native,Actual,12629.722
SA,2015,Operational,,Actual,12533.223
SA,2015,OperationalGen,,Actual,12995.526
SA,2015,SmallNonScheduledGeneration,ONSG generation,Actual,92.31464
SA,2015,SmallNonScheduledGeneration,PVNSG generation,Actual,4.184975
TAS,2015,AuxiliaryLoads,,Actual,87.24051
TAS,2015,Losses,Distribution losses,Actual,168.91614
TAS,2015,Losses,Transmission losses,Actual,241.3392
TAS,2015,Native,Native,Actual,10550.515
TAS,2015,Operational,,Actual,10087.014
TAS,2015,OperationalGen,,Actual,10174.255
TAS,2015,SmallNonScheduledGeneration,ONSG generation,Actual,463.5002
TAS,2015,SmallNonScheduledGeneration,PVNSG generation,Actual,0
VIC,2015,AuxiliaryLoads,,Actual,4212.298
VIC,2015,Losses,Distribution losses,Actual,1834.1503
VIC,2015,Losses,Transmission losses,Actual,1050.6873
VIC,2015,Native,Native,Actual,43485.68
VIC,2015,Operational,,Actual,42710.863
VIC,2015,OperationalGen,,Actual,46923.16
VIC,2015,SmallNonScheduledGeneration,ONSG generation,Actual,757.5949
VIC,2015,SmallNonScheduledGeneration,PVNSG generation,Actual,17.222292
NEM,2016,AuxiliaryLoads,,Actual,11436.347
NEM,2016,Losses,Distribution losses,Actual,7032.715
NEM,2016,Losses,Transmission losses,Actual,4604.204
NEM,2016,Native,Native,Actual,189321.95
NEM,2016,Operational,,Actual,184411.1
NEM,2016,OperationalGen,,Actual,195847.45
NEM,2016,SmallNonScheduledGeneration,ONSG generation,Actual,4753.1494
NEM,2016,SmallNonScheduledGeneration,PVNSG generation,Actual,157.699
NSW,2016,AuxiliaryLoads,,Actual,3033.8901
NSW,2016,Losses,Distribution losses,Actual,2582.111
NSW,2016,Losses,Transmission losses,Actual,1536.6511
NSW,2016,Native,Native,Actual,69699.16
NSW,2016,Operational,,Actual,67965.72
NSW,2016,OperationalGen,,Actual,70999.61
NSW,2016,SmallNonScheduledGeneration,ONSG generation,Actual,1623.4054
NSW,2016,SmallNonScheduledGeneration,PVNSG generation,Actual,110.02511
QLD,2016,AuxiliaryLoads,,Actual,3751.473
QLD,2016,Losses,Distribution losses,Actual,1546.0907
QLD,2016,Losses,Transmission losses,Actual,1270.3779
QLD,2016,Native,Native,Actual,52333.445
QLD,2016,Operational,,Actual,50509.36
QLD,2016,OperationalGen,,Actual,54260.836
QLD,2016,SmallNonScheduledGeneration,ONSG generation,Actual,1803.0941
QLD,2016,SmallNonScheduledGeneration,PVNSG generation,Actual,20.991259
SA,2016,AuxiliaryLoads,,Actual,477.68033
SA,2016,Losses,Distribution losses,Actual,794.8049
SA,2016,Losses,Transmission losses,Actual,421.62115
SA,2016,Native,Native,Actual,13032.205
SA,2016,Operational,,Actual,12933.164
