id,casestudy_area,casestudy_area_code,date,organisation_tariff_name,First_20_units(d/unit),After_20_units(d/unit),Light_(flat_d/unit),Power_(flat)_(d/unit),Light_max_demand_(d/unit),Power_max_demand_(d/unit),LightFirst1000Units_(d/unit),LightSecond1000Units_per_month_(d/unit),LightThird1000Units_per_month_(d/unit),LigthOver3000Units_per_month_(d/unit),PowerAndHeat_(d/unit),PowerAndHeat75hoursPeak_(d/unit),PoweAndHeatOver75peak_(d/unit),Charge_per_room_per_month,"Residential_3_rooms_or_less_""GB""/""GD""/""GR""_First_X_units_per_qu","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Next_X_units_per_qua","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Balance_units_per_qu",First_1200_kwhquarter_Tariff_J_(c/kWh),Balance_kWh_per_quarter_Tariff_J_(c/kWh),"I_J_/""GD""/""GR""_Minimum_charge__($/per_quarter)_1982",YandJ_Water_and_space_heating_1984,Energy_charge_per_unit_(d_or_c_/_kwh),Standing_charge_($/year),TUoS Block_1_(c/kWh),TUoS Block_2_(c/kWh),TUoS Summer_peak_(c/kWh),TUoS Summer_shoulder_(c/kWh) ,TUoS Winter_peak_(c/kWh),TUoS Average_(c/kWh),Network_charges Block_1/peak_(c/kWh),Extras_(summer_export),Premium_FiT,average_dckwh
525,Drouin,NM,1919-01-01,1919DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
526,Eaglehawk,NM,1919-01-01,1919EAGLEHAWK,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
527,Elmore,NM,1919-01-01,1919ELMORE,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
528,Euroa,NM,1919-01-01,1919EUROA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
529,Frankston,NM,1919-01-01,1919FRANKSTON,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
530,Footscrays,M,1919-01-01,1919FOOTS,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
531,Scalemescogeel,M,1919-01-01,1919SCALEMESCOGEEL,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
532,Scalehamilton,NM,1919-01-01,1919SCALEHAMILTON,,,9,6,6,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9375
533,Heathcote,NM,1919-01-01,1919HEATHCOTE,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
534,Heyfield,NM,1919-01-01,1919HEYFIELD,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
535,Cobden,NM,1919-01-01,1919COBDEN,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
536,Cohuna,NM,1919-01-01,1919COHUNA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
537,Hopetoun,NM,1919-01-01,1919HOPETOUN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
538,Horsham,NM,1919-01-01,1919HORSHAM,,,60,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33333333
539,Inglewood,NM,1919-01-01,1919INGLEWOOD,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
540,Jeparit,NM,1919-01-01,1919JEPARIT,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
541,Kerang,NM,1919-01-01,1919KERANG,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
542,Kilmore,NM,1919-01-01,1919KILMORE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
543,Koroit,NM,1919-01-01,1919KOROIT,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
544,Poowong,NM,1919-01-01,1919POOWONG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
545,Kyabram,NM,1919-01-01,1919KYABRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
546,Leon,NM,1919-01-01,1919LEON,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
547,Lilydale,NM,1919-01-01,1919LILYDALE,,,7,3,,2.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,3.625
548,Winchelsea,NM,1919-01-01,1919WINCHELSEA,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
549,Maffra,NM,1919-01-01,1919MAFFRA,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
550,Mansfield,NM,1919-01-01,1919MANSFIELD,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
551,Mildura,NM,1919-01-01,1919MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
552,Mortlake,NM,1919-01-01,1919MORTLAKE,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
553,Murtoa,NM,1919-01-01,1919MURTOA,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
554,Goulburn,NM,1919-01-01,1919GOULBURN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
555,Nathalia,NM,1919-01-01,1919NATHALIA,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
556,Nhill,NM,1919-01-01,1919NHILL,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
557,Northcote,M,1919-01-01,1919NORTHCOTE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
558,Numurkah,NM,1919-01-01,1919NUMURKAH,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
559,Portmelbourne,M,1919-01-01,1919PORTMELBOURNE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
560,Preston,M,1919-01-01,1919PRESTON,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
561,Rainbow,NM,1919-01-01,1919RAINBOW,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
562,Riverlatrobehydro,NM,1919-01-01,1919RIVERLATROBEHYDRO,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
563,Rochester,NM,1919-01-01,1919ROCHESTER,,,7,6,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,6
564,Rutherglen,NM,1919-01-01,1919RUTHERGLEN,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
565,Sale,NM,1919-01-01,1919SALE,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
566,Sealake,NM,1919-01-01,1919SEALAKE,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
567,Shepparton,NM,1919-01-01,1919SHEPPARTON,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
568,Sunbury,NM,1919-01-01,1919SUNBURY,,,7,3,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
569,Swanhill,NM,1919-01-01,1919SWANHILL,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
570,Tatura,NM,1919-01-01,1919TATURA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
571,Terang,NM,1919-01-01,1919TERANG,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
572,Toora,NM,1919-01-01,1919TOORA,7,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666667
573,Wodonga,NM,1919-01-01,1919WODONGA,,,7,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.375
574,Woodend,NM,1919-01-01,1919WOODEND,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
575,Wycheproof,NM,1919-01-01,1919WYCHEPROOF,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
576,Yarram,NM,1919-01-01,1919YARRAM,,,8,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
577,Yarrawonga,NM,1919-01-01,1919YARRAWONGA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
578,Melbourne,M,1920-01-01,Corporation of the City of Melbourne,,,5.5,2.25,6,3,1.5,,,,1,,,,,,,,,,,,,,,,,,,,,,3.208333333
579,Metro,M,1920-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,3,2,,,,1.25,,,,,,,,,,,,,,,,,,,,,,3.458333333
580,North Melbourne,M,1920-01-01,1920NMELBELECTRAM,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
581,Ararat,NM,1920-01-01,1920ARARAT,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
582,Bairnsdale,NM,1920-01-01,1920BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
583,Bacchusmarsh,NM,1920-01-01,1920BACCHUSMARSH,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
584,Ballarat,NM,1920-01-01,Electric Supply Company of Victoria Limited,,,8,3,9,3,3.5,,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.666666667
585,Bendigo,NM,1920-01-01,1920SCALEBEND,,,6.5,4,9,4,,4,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.833333333
586,Karkarooc,NM,1920-01-01,1920KARKAROOC,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
587,Beaufort,NM,1920-01-01,1920BEAUFORT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
588,Birchip,NM,1920-01-01,1920BIRCHIP,,,12,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,8
589,Boxhill,M,1920-01-01,1920BOXHILL,,,6,1.5,,2,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,3
590,Braybrook,NM,1920-01-01,1920BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
591,Bright,NM,1920-01-01,1920BRIGHT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
592,Brunswick,M,1920-01-01,1920BRUNSWICK,,,5,2,5.5,2,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.166666667
593,Camperdown,NM,1920-01-01,1920CAMPERDOWN,,,8,4,6,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,4.8
594,Casterton,NM,1920-01-01,1920CASTERTON,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
595,Carrum,NM,1920-01-01,1920CARRUM,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
596,Charlton,NM,1920-01-01,1920CHARLTON,,,9,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.833333333
597,Cobram,NM,1920-01-01,1920COBRAM,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
598,Cohuna,NM,1920-01-01,1920COHUNA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
599,Coleraine,NM,1920-01-01,1920COLERAINE,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
600,Dandenong,NM,1920-01-01,1920DANDENONG,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
601,Dimboola,NM,1920-01-01,1920DIMBOOLA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
602,Daylesford,NM,1920-01-01,1920DAYLESFORD,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
603,Donald,NM,1920-01-01,1920DONALD,,,40,6,8,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,14.625
604,Doncaster,NM,1920-01-01,1920DONCASTER,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
605,Drouin,NM,1920-01-01,1920DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
606,Eaglehawk,NM,1920-01-01,1920EAGLEHAWK,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
607,Elmore,NM,1920-01-01,1920ELMORE,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
608,Euroa,NM,1920-01-01,1920EUROA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
609,Footscrays,M,1920-01-01,1920FOOTS,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
610,Frankston,NM,1920-01-01,1920FRANKSTON,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
611,Scalemescogeel,M,1920-01-01,1920SCALEMESCOGEEL,,,7,60,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,13.83333333
612,Scalehamilton,NM,1920-01-01,1920SCALEHAMILTON,,,9,6,6,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9375
613,Healsesville,NM,1920-01-01,1920HEALSESVILLE,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
614,Heathcote,NM,1920-01-01,1920HEATHCOTE,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
615,Heyfield,NM,1920-01-01,1920HEYFIELD,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
616,Cobden,NM,1920-01-01,1920COBDEN,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
617,Hopetoun,NM,1920-01-01,1920HOPETOUN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
618,Horsham,NM,1920-01-01,1920HORSHAM,,,60,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33333333
619,Inglewood,NM,1920-01-01,1920INGLEWOOD,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
620,Jeparit,NM,1920-01-01,1920JEPARIT,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
621,Kerang,NM,1920-01-01,1920KERANG,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
622,Kilmore,NM,1920-01-01,1920KILMORE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
623,Koroit,NM,1920-01-01,1920KOROIT,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
624,Poowong,NM,1920-01-01,1920POOWONG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
625,Kyabram,NM,1920-01-01,1920KYABRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
626,Leon,NM,1920-01-01,1920LEON,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
627,Lilydale,NM,1920-01-01,1920LILYDALE,,,7,3,,2.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,3.625
628,Winchelsea,NM,1920-01-01,1920WINCHELSEA,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
629,Maffra,NM,1920-01-01,1920MAFFRA,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
630,Mansfield,NM,1920-01-01,1920MANSFIELD,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
631,Mildura,NM,1920-01-01,1920MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
632,Mornington,NM,1920-01-01,1920MORNINGTON,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
633,Mortlake,NM,1920-01-01,1920MORTLAKE,,,12,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333
634,Mooroopna,NM,1920-01-01,1920MOOROOPNA,,,10,5.5,,4.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,6.5
635,Murtoa,NM,1920-01-01,1920MURTOA,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
636,Goulburn,NM,1920-01-01,1920GOULBURN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
637,Nathalia,NM,1920-01-01,1920NATHALIA,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
638,Nhill,NM,1920-01-01,1920NHILL,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
639,Northcote,M,1920-01-01,1920NORTHCOTE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
640,Numurkah,NM,1920-01-01,1920NUMURKAH,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
641,Portmelbourne,M,1920-01-01,1920PORTMELBOURNE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
642,Preston,M,1920-01-01,1920PRESTON,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
643,Rainbow,NM,1920-01-01,1920RAINBOW,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
644,Riverlatrobehydro,NM,1920-01-01,1920RIVERLATROBEHYDRO,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
645,Rochester,NM,1920-01-01,1920ROCHESTER,,,7,6,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,6
646,Rutherglen,NM,1920-01-01,1920RUTHERGLEN,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
647,Sale,NM,1920-01-01,1920SALE,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
648,Sealake,NM,1920-01-01,1920SEALAKE,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
649,Seymour,NM,1920-01-01,1920SEYMOUR,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
650,Shepparton,NM,1920-01-01,1920SHEPPARTON,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
651,Sunbury,NM,1920-01-01,1920SUNBURY,,,7,3,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
652,Swanhill,NM,1920-01-01,1920SWANHILL,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
653,Tatura,NM,1920-01-01,1920TATURA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
654,Terang,NM,1920-01-01,1920TERANG,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
655,Toora,NM,1920-01-01,1920TOORA,7,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666667
656,Wodonga,NM,1920-01-01,Wodonga,,,7,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.375
657,Woodend,NM,1920-01-01,1920WOODEND,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
658,Wycheproof,NM,1920-01-01,1920WYCHEPROOF,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
659,Yarram,NM,1920-01-01,1920YARRAM,,,8,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
660,Yarrawonga,NM,1920-01-01,1920YARRAWONGA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
661,Melbourne,M,1921-01-01,Corporation of the City of Melbourne,,,4.5,2.25,7,2.25,1.5,,1.5,,0.75,,0.5,,,,,,,,,,,,,,,,,,,,2.53125
662,Metro,M,1921-01-01,Melbourne Electric Supply Co. Ltd.,,,2.5,1.5,5.75,8,3.25,7,1,,2.5,,,,,,,,,,,,,,,,,,,,,,3.9375
663,North Melbourne,M,1921-01-01,1921NMELBELECTRAM,,,5.5,3,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333333333
664,Alexandra,NM,1921-01-01,1921ALEXANDRA,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
665,Ararat,NM,1921-01-01,1921ARARAT,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
666,Bairnsdale,NM,1921-01-01,1921BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
667,Bacchusmarsh,NM,1921-01-01,1921BACCHUSMARSH,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
668,Ballarat,NM,1921-01-01,Electric Supply Company of Victoria Limited,,,9,3.5,9,1.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,5.4
669,Bendigo,NM,1921-01-01,Electric Supply Company of Victoria Limited,,,9,4,9,1.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5.7
670,Karkarooc,NM,1921-01-01,1921KARKAROOC,,,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
671,Beaufort,NM,1921-01-01,1921BEAUFORT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
672,Birchip,NM,1921-01-01,1921BIRCHIP,,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
673,Boxhill,M,1921-01-01,1921BOXHILL,,,6,2.5,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
674,Braybrook,NM,1921-01-01,1921BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
675,Bright,NM,1921-01-01,1921BRIGHT,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
676,Broadmeadows,M,1921-01-01,1921BROADMEADOWS,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
677,Brunswick,M,1921-01-01,1921BRUNSWICK,,,6,2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.166666667
678,Boort,NM,1921-01-01,1921BOORT,,,12,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
679,Camperdown,NM,1921-01-01,1921CAMPERDOWN,,,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
680,Castlemaine,NM,1921-01-01,1921CASTLEMAINE,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
681,Casterton,NM,1921-01-01,1921CASTERTON,,,10.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
682,Carrum,NM,1921-01-01,1921CARRUM,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
683,Charlton,NM,1921-01-01,1921CHARLTON,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
684,Cobram,NM,1921-01-01,1921COBRAM,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
685,Coburg,M,1921-01-01,1921COBURG,,,5.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
686,Cohuna,NM,1921-01-01,1921COHUNA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
687,Coleraine,NM,1921-01-01,1921COLERAINE,,,10,7,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,9
688,Dandenong,NM,1921-01-01,1921DANDENONG,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
689,Dimboola,NM,1921-01-01,1921DIMBOOLA,,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
690,Daylesford,NM,1921-01-01,1921DAYLESFORD,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
691,Donald,NM,1921-01-01,1921DONALD,,,8,4.5,7.5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,6.25
692,Doncaster,NM,1921-01-01,1921DONCASTER,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
693,Drouin,NM,1921-01-01,1921DROUIN,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
694,Eaglehawk,NM,1921-01-01,1921EAGLEHAWK,,,7,4.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333
695,Elmore,NM,1921-01-01,1921ELMORE,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
696,Euroa,NM,1921-01-01,1921EUROA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
697,Frankston,NM,1921-01-01,1921FRANKSTON,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
698,Footscrays,M,1921-01-01,1921FOOTS,,,5,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.666666667
699,Ferntreegully,NM,1921-01-01,1921FERNTREEGULLY,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
700,Gisborne,NM,1921-01-01,1921GISBORNE,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
701,Scalemescogeel,M,1921-01-01,1921SCALEMESCOGEEL,,,8,4,10,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,5.2
702,Scalehamilton,NM,1921-01-01,1921SCALEHAMILTON,,,9,6,6,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9375
703,Healsesville,NM,1921-01-01,1921HEALSESVILLE,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
704,Heathcote,NM,1921-01-01,1921HEATHCOTE,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
705,Heyfield,NM,1921-01-01,1921HEYFIELD,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
706,Heidelbergmesco,NM,1921-01-01,1921HEIDELBERGMESCO,,,6,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.666666667
707,Cobden,NM,1921-01-01,1921COBDEN,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
708,Hopetoun,NM,1921-01-01,1921HOPETOUN,,,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
709,Horsham,NM,1921-01-01,1921HORSHAM,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
710,Inglewood,NM,1921-01-01,1921INGLEWOOD,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
711,Jeparit,NM,1921-01-01,1921JEPARIT,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
712,Kerang,NM,1921-01-01,1921KERANG,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
713,Kilmore,NM,1921-01-01,1921KILMORE,,,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
714,Koroit,NM,1921-01-01,1921KOROIT,,,10,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6
715,Poowong,NM,1921-01-01,1921POOWONG,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
716,Kyabram,NM,1921-01-01,1921KYABRAM,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
717,Leon,NM,1921-01-01,1921LEON,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
718,Lilydale,NM,1921-01-01,1921LILYDALE,,,7,3,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,3.5
719,Winchelsea,NM,1921-01-01,1921WINCHELSEA,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
720,Maffra,NM,1921-01-01,1921MAFFRA,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
721,Mansfield,NM,1921-01-01,1921MANSFIELD,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
722,Mildura,NM,1921-01-01,1921MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
723,Mornington,NM,1921-01-01,1921MORNINGTON,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
724,Mortlake,NM,1921-01-01,1921MORTLAKE,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
725,Mooroopna,NM,1921-01-01,1921MOOROOPNA,,,10,5.5,,4.5,,,,,6,,,,,,,,,,,,,,,,,,,,,,6.5
726,Murtoa,NM,1921-01-01,1921MURTOA,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
