C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,NEMMCO,PUBLIC,2012/01/09,12:10:29,0000000234000629,,0000000234000625
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/30 00:00:00",VIC1,151002.091356,191606.41474213,1.2689
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/01 00:00:00",NEM,523723.90755186,488526.69990884,0.9328
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/01 00:00:00",NSW1,166063.435684,154376.39780918,0.9296
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/01 00:00:00",QLD1,146156.02670836,120373.56697751,0.8236
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/01 00:00:00",SA1,30933.274908,16307.77063907,0.5272
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/01 00:00:00",TAS1,30549.8510275,4509.64597572,0.1476
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/01 00:00:00",VIC1,150021.319224,192959.31850736,1.2862
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/02 00:00:00",NEM,512951.14087919,481414.68431054,0.9385
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/02 00:00:00",NSW1,156487.342559,144531.79256103,0.9236
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/02 00:00:00",QLD1,146067.73369167,122001.15352139,0.8352
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/02 00:00:00",SA1,32263.417254,18269.74618542,0.5663
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/02 00:00:00",TAS1,27859.81261451,4520.73586284,0.1623
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/02 00:00:00",VIC1,150272.83476001,192091.25617986,1.2783
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/03 00:00:00",NEM,471940.06214787,445140.70947947,0.9432
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/03 00:00:00",NSW1,137397.925845,128366.07640662,0.9343
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/03 00:00:00",QLD1,138987.90758736,113192.58809966,0.8144
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/03 00:00:00",SA1,29755.542314,15698.48771894,0.5276
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/03 00:00:00",TAS1,24607.0852895,4168.39510008,0.1694
D,CO2EII,PUBLISHING,1,2011,49,"2011/12/03 00:00:00",VIC1,141191.60111201,183715.16215417,1.3012
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/04 00:00:00",NEM,461832.86100853,425758.63746944,0.9219
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/04 00:00:00",NSW1,129014.29254701,118954.12744973,0.922
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/04 00:00:00",QLD1,135912.5574825,110293.03398184,0.8115
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/04 00:00:00",SA1,34878.817055,14598.76151485,0.4186
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/04 00:00:00",TAS1,24134.72780601,4214.59801294,0.1746
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/04 00:00:00",VIC1,137892.46611801,177698.11651008,1.2887
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/05 00:00:00",NEM,514558.60561767,471326.42608197,0.916
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/05 00:00:00",NSW1,156318.97700901,142956.72693113,0.9145
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/05 00:00:00",QLD1,145136.40780167,117783.7619328,0.8115
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/05 00:00:00",SA1,33340.280809,15925.01425722,0.4777
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/05 00:00:00",TAS1,29465.840943,4505.03808462,0.1529
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/05 00:00:00",VIC1,150297.09905499,190155.8848762,1.2652
D,CO2EII,PUBLISHING,1,2011,50,"2011/12/06 00:00:00",NEM,522472.53347688,482530.59475802,0.9236
