C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR_2014_PT1,AEMO,PUBLIC,2015/01/05,12:00:47,0000000257828796,,0000000257828790
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/27 00:00:00",SA1,26989.907057,11639.66145637,0.4313
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/27 00:00:00",TAS1,40820.120313,2080.55785925,0.0510
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/27 00:00:00",VIC1,115952.52429402,145596.94605891,1.2557
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/28 00:00:00",NEM,499921.125258,415272.02924828,0.8307
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/28 00:00:00",NSW1,156233.729495,143859.32938178,0.9208
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/28 00:00:00",QLD1,134033.07274801,113796.02056478,0.8490
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/28 00:00:00",SA1,40005.585832,12433.39561212,0.3108
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/28 00:00:00",TAS1,42377.884951,2086.81791938,0.0492
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/28 00:00:00",VIC1,127270.85223199,143096.46577022,1.1243
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/29 00:00:00",NEM,504087.15531702,426223.56800819,0.8455
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/29 00:00:00",NSW1,162063.581162,151005.09537151,0.9318
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/29 00:00:00",QLD1,134595.247566,113165.53944260,0.8408
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/29 00:00:00",SA1,38511.61794301,13372.04372011,0.3472
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/29 00:00:00",TAS1,42803.286481,2063.94349725,0.0482
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/29 00:00:00",VIC1,126113.42216501,146616.94597672,1.1626
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/30 00:00:00",NEM,505278.17028641,447143.07105092,0.8849
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/30 00:00:00",NSW1,167389.361582,156481.37004868,0.9348
