C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,AEMO,PUBLIC,08/01/2018,12:43:12,290862395,,290862390,
D,CO2EII,PUBLISHING,1,2017,26,01/07/2017 00:00,QLD1,158918.5956,141888.0358,0.8928
D,CO2EII,PUBLISHING,1,2017,26,01/07/2017 00:00,SA1,38501.35304,12019.49736,0.3122
D,CO2EII,PUBLISHING,1,2017,26,01/07/2017 00:00,TAS1,33963.9127,145.2726161,0.0043
D,CO2EII,PUBLISHING,1,2017,26,01/07/2017 00:00,VIC1,114358.8555,117588.1952,1.0282
D,CO2EII,PUBLISHING,1,2017,27,02/07/2017 00:00,NEM,521107.4636,429959.9587,0.8251
D,CO2EII,PUBLISHING,1,2017,27,02/07/2017 00:00,NSW1,184107.6453,167971.3592,0.9124
D,CO2EII,PUBLISHING,1,2017,27,02/07/2017 00:00,QLD1,155276.9313,138840.6757,0.8941
D,CO2EII,PUBLISHING,1,2017,27,02/07/2017 00:00,SA1,41065.64327,9631.977026,0.2346
D,CO2EII,PUBLISHING,1,2017,27,02/07/2017 00:00,TAS1,26549.47645,88.12419936,0.0033
D,CO2EII,PUBLISHING,1,2017,27,02/07/2017 00:00,VIC1,114107.7673,113427.8227,0.994
D,CO2EII,PUBLISHING,1,2017,27,03/07/2017 00:00,NEM,588389.6763,464784.9679,0.7899
D,CO2EII,PUBLISHING,1,2017,27,03/07/2017 00:00,NSW1,202636.4092,179912.9799,0.8879
D,CO2EII,PUBLISHING,1,2017,27,03/07/2017 00:00,QLD1,172872.2113,152795.9494,0.8839
D,CO2EII,PUBLISHING,1,2017,27,03/07/2017 00:00,SA1,49560.28143,12324.53284,0.2487
D,CO2EII,PUBLISHING,1,2017,27,03/07/2017 00:00,TAS1,33541.41236,223.8934059,0.0067
D,CO2EII,PUBLISHING,1,2017,27,03/07/2017 00:00,VIC1,129779.362,119527.6124,0.921
D,CO2EII,PUBLISHING,1,2017,27,04/07/2017 00:00,NEM,551147.4884,438240.0233,0.7951
D,CO2EII,PUBLISHING,1,2017,27,04/07/2017 00:00,NSW1,191842.3693,166083.9241,0.8657
D,CO2EII,PUBLISHING,1,2017,27,04/07/2017 00:00,QLD1,158683.4012,140492.5235,0.8854
D,CO2EII,PUBLISHING,1,2017,27,04/07/2017 00:00,SA1,44396.94874,12811.95276,0.2886
D,CO2EII,PUBLISHING,1,2017,27,04/07/2017 00:00,TAS1,30950.26762,317.9857785,0.0103
D,CO2EII,PUBLISHING,1,2017,27,04/07/2017 00:00,VIC1,125274.5016,118533.6371,0.9462
D,CO2EII,PUBLISHING,1,2017,27,05/07/2017 00:00,NEM,545877.684,444536.1687,0.8144
D,CO2EII,PUBLISHING,1,2017,27,05/07/2017 00:00,NSW1,184940.9164,164621.4301,0.8901
D,CO2EII,PUBLISHING,1,2017,27,05/07/2017 00:00,QLD1,162073.1141,142768.9261,0.8809
D,CO2EII,PUBLISHING,1,2017,27,05/07/2017 00:00,SA1,37098.7166,16308.97771,0.4396
D,CO2EII,PUBLISHING,1,2017,27,05/07/2017 00:00,TAS1,37151.81638,138.7341079,0.0037
D,CO2EII,PUBLISHING,1,2017,27,05/07/2017 00:00,VIC1,124613.1206,120698.1007,0.9686
D,CO2EII,PUBLISHING,1,2017,27,06/07/2017 00:00,NEM,553282.4768,449644.4129,0.8127
D,CO2EII,PUBLISHING,1,2017,27,06/07/2017 00:00,NSW1,188354.2616,170377.0393,0.9046
D,CO2EII,PUBLISHING,1,2017,27,06/07/2017 00:00,QLD1,163518.7533,145795.5348,0.8916
D,CO2EII,PUBLISHING,1,2017,27,06/07/2017 00:00,SA1,42924.11997,16311.6703,0.38
D,CO2EII,PUBLISHING,1,2017,27,06/07/2017 00:00,TAS1,35528.11094,259.2735976,0.0073
D,CO2EII,PUBLISHING,1,2017,27,06/07/2017 00:00,VIC1,122957.231,116900.8949,0.9507
D,CO2EII,PUBLISHING,1,2017,27,07/07/2017 00:00,NEM,565796.6698,457184.2057,0.808
D,CO2EII,PUBLISHING,1,2017,27,07/07/2017 00:00,NSW1,197645.1282,178608.0947,0.9037
D,CO2EII,PUBLISHING,1,2017,27,07/07/2017 00:00,QLD1,169309.9139,150578.8304,0.8894
D,CO2EII,PUBLISHING,1,2017,27,07/07/2017 00:00,SA1,48156.71119,13378.43947,0.2778
D,CO2EII,PUBLISHING,1,2017,27,07/07/2017 00:00,TAS1,33475.70144,249.5332825,0.0075
D,CO2EII,PUBLISHING,1,2017,27,07/07/2017 00:00,VIC1,117209.2151,114369.3078,0.9758
D,CO2EII,PUBLISHING,1,2017,27,08/07/2017 00:00,NEM,524375.1336,431816.9248,0.8235
D,CO2EII,PUBLISHING,1,2017,27,08/07/2017 00:00,NSW1,187506.6205,166549.5582,0.8882
D,CO2EII,PUBLISHING,1,2017,27,08/07/2017 00:00,QLD1,154982.3409,138007.613,0.8905
D,CO2EII,PUBLISHING,1,2017,27,08/07/2017 00:00,SA1,38643.78819,13489.12579,0.3491
D,CO2EII,PUBLISHING,1,2017,27,08/07/2017 00:00,TAS1,28599.71621,291.5723532,0.0102
D,CO2EII,PUBLISHING,1,2017,27,08/07/2017 00:00,VIC1,114642.6679,113479.0555,0.9899
D,CO2EII,PUBLISHING,1,2017,28,09/07/2017 00:00,NEM,511367.8818,428801.994,0.8385
D,CO2EII,PUBLISHING,1,2017,28,09/07/2017 00:00,NSW1,184152.8959,161401.7908,0.8765
D,CO2EII,PUBLISHING,1,2017,28,09/07/2017 00:00,QLD1,155601.5501,139450.1853,0.8962
D,CO2EII,PUBLISHING,1,2017,28,09/07/2017 00:00,SA1,31337.89506,13437.32182,0.4288
D,CO2EII,PUBLISHING,1,2017,28,09/07/2017 00:00,TAS1,25422.95917,1.91246526,0.0001
D,CO2EII,PUBLISHING,1,2017,28,09/07/2017 00:00,VIC1,114852.5816,114510.7836,0.997
D,CO2EII,PUBLISHING,1,2017,28,10/07/2017 00:00,NEM,561438.5176,470384.3911,0.8378
D,CO2EII,PUBLISHING,1,2017,28,10/07/2017 00:00,NSW1,199611.8329,178656.7316,0.895
D,CO2EII,PUBLISHING,1,2017,28,10/07/2017 00:00,QLD1,169933.5908,151473.6657,0.8914
D,CO2EII,PUBLISHING,1,2017,28,10/07/2017 00:00,SA1,29417.81223,18231.29311,0.6197
D,CO2EII,PUBLISHING,1,2017,28,10/07/2017 00:00,TAS1,33528.19292,401.9512967,0.012
D,CO2EII,PUBLISHING,1,2017,28,10/07/2017 00:00,VIC1,128947.0889,121620.7494,0.9432
D,CO2EII,PUBLISHING,1,2017,28,11/07/2017 00:00,NEM,560243.6093,472916.753,0.8441
D,CO2EII,PUBLISHING,1,2017,28,11/07/2017 00:00,NSW1,195484.8264,180429.2221,0.923
D,CO2EII,PUBLISHING,1,2017,28,11/07/2017 00:00,QLD1,168473.6371,149474.9255,0.8872
D,CO2EII,PUBLISHING,1,2017,28,11/07/2017 00:00,SA1,33041.90185,20401.37056,0.6174
D,CO2EII,PUBLISHING,1,2017,28,11/07/2017 00:00,TAS1,39114.56747,718.8060904,0.0184
D,CO2EII,PUBLISHING,1,2017,28,11/07/2017 00:00,VIC1,124128.6765,121892.4287,0.982
D,CO2EII,PUBLISHING,1,2017,28,12/07/2017 00:00,NEM,566105.8744,454306.381,0.8025
D,CO2EII,PUBLISHING,1,2017,28,12/07/2017 00:00,NSW1,197700.333,172919.2272,0.8747
D,CO2EII,PUBLISHING,1,2017,28,12/07/2017 00:00,QLD1,171806.5667,151304.711,0.8807
D,CO2EII,PUBLISHING,1,2017,28,12/07/2017 00:00,SA1,46281.03416,13287.14386,0.2871
D,CO2EII,PUBLISHING,1,2017,28,12/07/2017 00:00,TAS1,30449.55488,201.5920838,0.0066
D,CO2EII,PUBLISHING,1,2017,28,12/07/2017 00:00,VIC1,119868.3857,116593.7069,0.9727
D,CO2EII,PUBLISHING,1,2017,28,13/07/2017 00:00,NEM,561108.6839,450973.4686,0.8037
D,CO2EII,PUBLISHING,1,2017,28,13/07/2017 00:00,NSW1,193029.1587,173701.9403,0.8999
D,CO2EII,PUBLISHING,1,2017,28,13/07/2017 00:00,QLD1,169473.3687,150801.4072,0.8898
D,CO2EII,PUBLISHING,1,2017,28,13/07/2017 00:00,SA1,45461.22126,10532.32048,0.2317
D,CO2EII,PUBLISHING,1,2017,28,13/07/2017 00:00,TAS1,25801.76966,1.50916278,0.0001
D,CO2EII,PUBLISHING,1,2017,28,13/07/2017 00:00,VIC1,127343.1656,115936.2914,0.9104
D,CO2EII,PUBLISHING,1,2017,28,14/07/2017 00:00,NEM,552814.4135,455772.887,0.8245
D,CO2EII,PUBLISHING,1,2017,28,14/07/2017 00:00,NSW1,194569.9712,171251.6932,0.8802
D,CO2EII,PUBLISHING,1,2017,28,14/07/2017 00:00,QLD1,165136.6902,150095.1813,0.9089
D,CO2EII,PUBLISHING,1,2017,28,14/07/2017 00:00,SA1,42382.21755,15311.9962,0.3613
D,CO2EII,PUBLISHING,1,2017,28,14/07/2017 00:00,TAS1,31745.45416,20.11903794,0.0006
D,CO2EII,PUBLISHING,1,2017,28,14/07/2017 00:00,VIC1,118980.0804,119093.8973,1.001
D,CO2EII,PUBLISHING,1,2017,28,15/07/2017 00:00,NEM,514989.8231,445910.0099,0.8659
D,CO2EII,PUBLISHING,1,2017,28,15/07/2017 00:00,NSW1,177071.7574,164813.6113,0.9308
D,CO2EII,PUBLISHING,1,2017,28,15/07/2017 00:00,QLD1,155378.4609,141396.5616,0.91
D,CO2EII,PUBLISHING,1,2017,28,15/07/2017 00:00,SA1,33881.64152,18943.22506,0.5591
D,CO2EII,PUBLISHING,1,2017,28,15/07/2017 00:00,TAS1,32930.096,1.59670374,0
D,CO2EII,PUBLISHING,1,2017,28,15/07/2017 00:00,VIC1,115727.8674,120755.0152,1.0434
D,CO2EII,PUBLISHING,1,2017,29,16/07/2017 00:00,NEM,511097.2888,422488.7848,0.8266
D,CO2EII,PUBLISHING,1,2017,29,16/07/2017 00:00,NSW1,173600.1035,162476.7572,0.9359
D,CO2EII,PUBLISHING,1,2017,29,16/07/2017 00:00,QLD1,151721.7263,138696.8356,0.9142
D,CO2EII,PUBLISHING,1,2017,29,16/07/2017 00:00,SA1,45539.99074,8272.91697,0.1817
D,CO2EII,PUBLISHING,1,2017,29,16/07/2017 00:00,TAS1,25376.75888,1.59567552,0.0001
D,CO2EII,PUBLISHING,1,2017,29,16/07/2017 00:00,VIC1,114858.7094,113040.6793,0.9842
D,CO2EII,PUBLISHING,1,2017,29,17/07/2017 00:00,NEM,557200.2824,449537.3519,0.8068
D,CO2EII,PUBLISHING,1,2017,29,17/07/2017 00:00,NSW1,194118.2871,174033.2723,0.8965
D,CO2EII,PUBLISHING,1,2017,29,17/07/2017 00:00,QLD1,159221.7595,144273.1661,0.9061
D,CO2EII,PUBLISHING,1,2017,29,17/07/2017 00:00,SA1,51327.08827,10662.98391,0.2077
D,CO2EII,PUBLISHING,1,2017,29,17/07/2017 00:00,TAS1,27822.72834,1.37210934,0
D,CO2EII,PUBLISHING,1,2017,29,17/07/2017 00:00,VIC1,124710.4191,120566.5576,0.9668
D,CO2EII,PUBLISHING,1,2017,29,18/07/2017 00:00,NEM,552805.4907,445553.8591,0.806
D,CO2EII,PUBLISHING,1,2017,29,18/07/2017 00:00,NSW1,191639.4033,166061.1934,0.8665
D,CO2EII,PUBLISHING,1,2017,29,18/07/2017 00:00,QLD1,157563.7161,142472.8314,0.9042
D,CO2EII,PUBLISHING,1,2017,29,18/07/2017 00:00,SA1,50997.66199,11179.17483,0.2192
D,CO2EII,PUBLISHING,1,2017,29,18/07/2017 00:00,TAS1,30756.71565,98.94253599,0.0032
D,CO2EII,PUBLISHING,1,2017,29,18/07/2017 00:00,VIC1,121847.9937,125741.717,1.032
D,CO2EII,PUBLISHING,1,2017,29,19/07/2017 00:00,NEM,554251.3912,437006.7596,0.7885
D,CO2EII,PUBLISHING,1,2017,29,19/07/2017 00:00,NSW1,190651.2796,161979.2246,0.8496
D,CO2EII,PUBLISHING,1,2017,29,19/07/2017 00:00,QLD1,160018.7765,144429.064,0.9026
D,CO2EII,PUBLISHING,1,2017,29,19/07/2017 00:00,SA1,43417.76507,14110.47056,0.325
D,CO2EII,PUBLISHING,1,2017,29,19/07/2017 00:00,TAS1,30764.74765,95.75433373,0.0031
D,CO2EII,PUBLISHING,1,2017,29,19/07/2017 00:00,VIC1,129398.8223,116392.246,0.8995
D,CO2EII,PUBLISHING,1,2017,29,20/07/2017 00:00,NEM,564544.1321,454290.668,0.8047
D,CO2EII,PUBLISHING,1,2017,29,20/07/2017 00:00,NSW1,197410.2671,169901.4971,0.8607
D,CO2EII,PUBLISHING,1,2017,29,20/07/2017 00:00,QLD1,161110.0526,145075.4086,0.9005
D,CO2EII,PUBLISHING,1,2017,29,20/07/2017 00:00,SA1,33894.75433,18337.24419,0.541
D,CO2EII,PUBLISHING,1,2017,29,20/07/2017 00:00,TAS1,36297.28936,279.9253116,0.0077
D,CO2EII,PUBLISHING,1,2017,29,20/07/2017 00:00,VIC1,135831.7686,120696.5927,0.8886
D,CO2EII,PUBLISHING,1,2017,29,21/07/2017 00:00,NEM,561677.0019,451606.2312,0.804
D,CO2EII,PUBLISHING,1,2017,29,21/07/2017 00:00,NSW1,195562.2297,174239.5761,0.891
D,CO2EII,PUBLISHING,1,2017,29,21/07/2017 00:00,QLD1,161552.9469,143382.8786,0.8875
