C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,05/01/2016,10:59:34,267518457,,267518454,
D,CO2EII,PUBLISHING,1,2015,30,23/07/2015 00:00,QLD1,147649.7584,131663.0585,0.8917
D,CO2EII,PUBLISHING,1,2015,30,23/07/2015 00:00,SA1,28734.38446,15269.69168,0.5314
D,CO2EII,PUBLISHING,1,2015,30,23/07/2015 00:00,TAS1,30582.8869,2.12861197,0.0001
D,CO2EII,PUBLISHING,1,2015,30,23/07/2015 00:00,VIC1,151100.2627,192229.6617,1.2722
D,CO2EII,PUBLISHING,1,2015,30,24/07/2015 00:00,NEM,538714.6387,478716.0533,0.8886
D,CO2EII,PUBLISHING,1,2015,30,24/07/2015 00:00,NSW1,182806.4607,160761.1106,0.8794
D,CO2EII,PUBLISHING,1,2015,30,24/07/2015 00:00,QLD1,141461.2888,126318.4728,0.893
D,CO2EII,PUBLISHING,1,2015,30,24/07/2015 00:00,SA1,35073.17873,7829.509197,0.2232
D,CO2EII,PUBLISHING,1,2015,30,24/07/2015 00:00,TAS1,29576.68528,2.27785404,0.0001
D,CO2EII,PUBLISHING,1,2015,30,24/07/2015 00:00,VIC1,149797.0252,183804.6828,1.227
D,CO2EII,PUBLISHING,1,2015,30,25/07/2015 00:00,NEM,491201.8301,429086.0702,0.8735
D,CO2EII,PUBLISHING,1,2015,30,25/07/2015 00:00,NSW1,156185.8169,132865.7155,0.8507
D,CO2EII,PUBLISHING,1,2015,30,25/07/2015 00:00,QLD1,133578.738,119171.9395,0.8921
D,CO2EII,PUBLISHING,1,2015,30,25/07/2015 00:00,SA1,36644.1604,7080.750273,0.1932
D,CO2EII,PUBLISHING,1,2015,30,25/07/2015 00:00,TAS1,22152.84672,2.27280424,0.0001
D,CO2EII,PUBLISHING,1,2015,30,25/07/2015 00:00,VIC1,142640.2681,169965.3921,1.1916
D,CO2EII,PUBLISHING,1,2015,31,26/07/2015 00:00,NEM,488175.681,426472.0145,0.8736
D,CO2EII,PUBLISHING,1,2015,31,26/07/2015 00:00,NSW1,157212.4738,135108.5971,0.8594
D,CO2EII,PUBLISHING,1,2015,31,26/07/2015 00:00,QLD1,130272.0928,116539.8648,0.8946
D,CO2EII,PUBLISHING,1,2015,31,26/07/2015 00:00,SA1,34091.383,10323.5114,0.3028
D,CO2EII,PUBLISHING,1,2015,31,26/07/2015 00:00,TAS1,29017.58972,2.26303125,0.0001
D,CO2EII,PUBLISHING,1,2015,31,26/07/2015 00:00,VIC1,137582.1416,164497.7781,1.1956
D,CO2EII,PUBLISHING,1,2015,31,27/07/2015 00:00,NEM,557271.5097,496092.7672,0.8902
D,CO2EII,PUBLISHING,1,2015,31,27/07/2015 00:00,NSW1,195535.7514,168535.1621,0.8619
D,CO2EII,PUBLISHING,1,2015,31,27/07/2015 00:00,QLD1,139114.3296,123713.7561,0.8893
D,CO2EII,PUBLISHING,1,2015,31,27/07/2015 00:00,SA1,30689.12931,22027.54647,0.7178
D,CO2EII,PUBLISHING,1,2015,31,27/07/2015 00:00,TAS1,40039.12893,1.71548214,0
D,CO2EII,PUBLISHING,1,2015,31,27/07/2015 00:00,VIC1,151893.1704,181814.5871,1.197
D,CO2EII,PUBLISHING,1,2015,31,28/07/2015 00:00,NEM,562094.2696,514645.1551,0.9156
D,CO2EII,PUBLISHING,1,2015,31,28/07/2015 00:00,NSW1,200330.4855,181074.6139,0.9039
D,CO2EII,PUBLISHING,1,2015,31,28/07/2015 00:00,QLD1,139657.096,124653.2708,0.8926
D,CO2EII,PUBLISHING,1,2015,31,28/07/2015 00:00,SA1,31520.31773,24584.43076,0.78
D,CO2EII,PUBLISHING,1,2015,31,28/07/2015 00:00,TAS1,40463.14119,1.47838804,0
D,CO2EII,PUBLISHING,1,2015,31,28/07/2015 00:00,VIC1,150123.2292,184331.3612,1.2279
D,CO2EII,PUBLISHING,1,2015,31,29/07/2015 00:00,NEM,561425.1972,506854.1662,0.9028
D,CO2EII,PUBLISHING,1,2015,31,29/07/2015 00:00,NSW1,195677.5156,179154.036,0.9156
D,CO2EII,PUBLISHING,1,2015,31,29/07/2015 00:00,QLD1,144050.2018,128639.3398,0.893
D,CO2EII,PUBLISHING,1,2015,31,29/07/2015 00:00,SA1,35347.89655,14932.58899,0.4224
