Id,Name,Registration date,Change Date
208,GPU PowerNet PTY LTD,1995-06-18,2000-07-26
209,Powercor Australia Ltd,1995-06-18,2020-11-24
210,CitiPower Pty,1995-06-18,2016-11-22
211,Solaris Power,1995-06-18,1998-06-22
212,United Energy,1996-01-01,2000-03-07
213,Hazelwood Power (partnership),1996-08-01,2003-01-01
214,National Power UK (Hazelwood Partner),1996-08-01,2001-01-01
215,Pacific Corp USA (Hazelwood Partner),1996-08-01,2003-01-01
216,Commonwealth Bank of Australia (Hazelwood Partner),1996-08-01,2003-01-01
217,International Power Hazelwood (IPRH),2003-01-01,2011-01-01
218,IPR-GDF SUEZ Hazelwood,2011-01-01,2017-03-03
219,Generation Victoria Shell,1995-06-18,1999-01-01
220,AES Transpower Holding Pty Ltd.,2000-05-14,2003-05-14
221,ECOGEN ENERGY PTY LTD,2003-05-14,2018-08-29
222,ENERGYAUSTRALIA ECOGEN PTY LTD,2018-08-29,2020-11-24
223,Great Energy Alliance (GEAC),2003-12-01,2021-08-23
224,EASTCOAST POWER PTY LTD,,
225,DUKE ENERGY BAIRNSDALE OPERATIONS PTY LTD,,
226,Duke Energy Bairnsdale Operations Pty Ltd,,
227,DUKE ENERGY BAIRNSDALE OPERATIONS PTY LTD,,
228,Alinta DEBO PTY LTD,,
229,Alinta Energy Finance Pty Ltd (Alinta Energy),,
230,Alinta Energy Retail Sales Pty Ltd,,
231,AGL Energy Services Pty Limited,,
232,AGL Energy Sales & Marketing Limited,,
233,Moreland Energy Foundation Ltd,,
234,Acciona Energy Oceania Pty Ltd,,
235,Meridian Energy limited,,
236,Hydro Tasmania (Hydro-Electric Corporation),,
237,TRUSTPOWER AUSTRALIA HOLDINGS PTY LTD,,
238,Essential Energy,1999-11-01,2021-08-23
239,BLUE NRG PTY. LTD. ,2011-07-01,2020-11-24
240,CLICK ENERGY PTY LTD,,
241,AMAYSIM ENERGY PTY LTD,,
242,Commander (M2 Energy Pty Ltd ),,
243,Dodo Power & Gas Pty Ltd,,
244,ERM Business Power ( ERM Power Retail Pty Ltd ),,
245,Flow Power (PROGRESSIVE GREEN PTY LTD),,
246,GLOBIRD ENERGY PTY. LTD. ,,
247,VICTORIA ELECTRICITY PTY LIMITED,2002-09-02,2010-06-23
248,LUMO ENERGY AUSTRALIA PTY LTD,,
249,Momentum Energy Pty Limited,2002-07-08,2020-11-24
250,PEOPLE ENERGY PTY LTD,,
251,AUSTRALIAN ENERGY SERVICES PTY. LTD.,,
252,Powerdirect  Pty Ltd,2004-05-26,2021-08-23
253,Powershop Australia Pty Limited,,
