C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,AEMO,PUBLIC,2020/01/06,13:09:10,0000000317403708,,0000000317403703
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/19 00:00:00",NSW1,188232.358235,159091.08644735,0.8452
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/19 00:00:00",QLD1,168769.78689907,129212.69600686,0.7656
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/19 00:00:00",SA1,35001.983256,8154.47470722,0.2330
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/19 00:00:00",TAS1,15872.691234,1.62785303,0.0001
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/19 00:00:00",VIC1,109360.141761,114576.56668499,1.0477
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/20 00:00:00",NEM,506536.50201864,402987.30196540,0.7956
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/20 00:00:00",NSW1,185833.510818,155586.42258721,0.8372
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/20 00:00:00",QLD1,162852.54750865,125663.68900256,0.7716
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/20 00:00:00",SA1,30945.230141,8707.02093598,0.2814
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/20 00:00:00",TAS1,16645.57291699,1.61911053,0.0001
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/20 00:00:00",VIC1,110259.640634,113028.55032912,1.0251
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/21 00:00:00",NEM,578677.10038275,451585.98461972,0.7804
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/21 00:00:00",NSW1,203677.072529,173127.37162261,0.85
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/21 00:00:00",QLD1,183937.53310475,139729.62485343,0.7597
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/21 00:00:00",SA1,34561.671424,14017.94768847,0.4056
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/21 00:00:00",TAS1,23852.117570,893.69474311,0.0375
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/21 00:00:00",VIC1,132648.705755,123817.34571210,0.9334
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/22 00:00:00",NEM,619680.33057825,470221.69030604,0.7588
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/22 00:00:00",NSW1,212454.41815349,179947.33248746,0.8470
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/22 00:00:00",QLD1,190535.47403275,143708.13045305,0.7542
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/22 00:00:00",SA1,41891.283701,19822.71189123,0.4732
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/22 00:00:00",TAS1,28449.106363,982.19033191,0.0345
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/22 00:00:00",VIC1,146350.04832801,125761.32514239,0.8593
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/23 00:00:00",NEM,597924.73917148,446069.98037563,0.7460
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/23 00:00:00",NSW1,208896.20123751,176449.33831459,0.8447
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/23 00:00:00",QLD1,186221.38309198,142242.45504270,0.7638
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/23 00:00:00",SA1,49508.91578499,18390.36973725,0.3715
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/23 00:00:00",TAS1,22390.004526,450.39959456,0.0201
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/23 00:00:00",VIC1,130908.234531,108537.41768653,0.8291
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/24 00:00:00",NEM,637982.90615894,463897.40747485,0.7271
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/24 00:00:00",NSW1,207920.69233350,173620.90462127,0.8350
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/24 00:00:00",QLD1,187441.09743944,142775.89850539,0.7617
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/24 00:00:00",SA1,58811.737918,27562.77829521,0.4687
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/24 00:00:00",TAS1,30502.844179,1167.47310504,0.0383
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/24 00:00:00",VIC1,153306.534289,118770.35294794,0.7747
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/25 00:00:00",NEM,670647.31577716,464033.03189699,0.6919
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/25 00:00:00",NSW1,220499.29970525,179920.43633057,0.8160
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/25 00:00:00",QLD1,198495.47482791,148689.56952312,0.7491
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/25 00:00:00",SA1,53208.750158,23562.52450071,0.4428
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/25 00:00:00",TAS1,34801.597340,1255.43879021,0.0361
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/25 00:00:00",VIC1,163642.193746,110605.06275238,0.6759
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/26 00:00:00",NEM,564079.79063258,420347.96252329,0.7452
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/26 00:00:00",NSW1,210016.90121250,176008.44436637,0.8381
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/26 00:00:00",QLD1,180043.24610908,136949.85276724,0.7606
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/26 00:00:00",SA1,38803.358833,15300.01214065,0.3943
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/26 00:00:00",TAS1,27986.234683,903.69420825,0.0323
D,CO2EII,PUBLISHING,1,2019,4,"2019/01/26 00:00:00",VIC1,107230.049795,91185.95904078,0.8504
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/27 00:00:00",NEM,517333.46728973,400501.99457752,0.7742
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/27 00:00:00",NSW1,185064.64002399,157699.24545677,0.8521
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/27 00:00:00",QLD1,177103.18895474,135781.79983820,0.7667
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/27 00:00:00",SA1,30544.546294,11993.01034037,0.3926
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/27 00:00:00",TAS1,26521.72344799,905.84022319,0.0342
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/27 00:00:00",VIC1,98099.36856901,94122.09871899,0.9595
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/28 00:00:00",NEM,528090.56951776,408068.18637421,0.7727
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/28 00:00:00",NSW1,184822.70617301,156057.94901469,0.8444
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/28 00:00:00",QLD1,179902.52798973,139462.27375898,0.7752
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/28 00:00:00",SA1,34285.61319701,14449.47732284,0.4214
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/28 00:00:00",TAS1,29584.19931101,1086.22150710,0.0367
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/28 00:00:00",VIC1,99495.522847,97012.26477060,0.9750
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/29 00:00:00",NEM,609401.57863233,450608.97172762,0.7394
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/29 00:00:00",NSW1,213868.98140325,171841.15837745,0.8035
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/29 00:00:00",QLD1,193320.21172409,148843.68712021,0.7699
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/29 00:00:00",SA1,40812.76310799,19918.23785680,0.4880
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/29 00:00:00",TAS1,30219.745580,1473.28120996,0.0488
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/29 00:00:00",VIC1,131179.876817,108532.60716320,0.8274
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/30 00:00:00",NEM,619673.27904010,451297.32580643,0.7283
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/30 00:00:00",NSW1,212203.07915351,174074.01712519,0.8203
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/30 00:00:00",QLD1,192772.17018758,149077.81451062,0.7733
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/30 00:00:00",SA1,49105.440742,16614.34826987,0.3383
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/30 00:00:00",TAS1,28497.366586,1780.18542096,0.0625
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/30 00:00:00",VIC1,137095.22237101,109750.96047979,0.8005
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/31 00:00:00",NEM,580993.72237844,425847.04349915,0.7330
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/31 00:00:00",NSW1,217258.98849850,173365.54989404,0.7980
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/31 00:00:00",QLD1,184522.51421892,144839.59658244,0.7849
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/31 00:00:00",SA1,41452.516481,10973.72842181,0.2647
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/31 00:00:00",TAS1,22844.34132501,990.82516548,0.0434
D,CO2EII,PUBLISHING,1,2019,5,"2019/01/31 00:00:00",VIC1,114915.36185501,95677.34343538,0.8326
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/01 00:00:00",NEM,522368.04579726,387975.57271378,0.7427
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/01 00:00:00",NSW1,193055.26715901,155916.64695692,0.8076
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/01 00:00:00",QLD1,169691.00384024,135152.87816342,0.7965
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/01 00:00:00",SA1,39700.680468,8648.84189016,0.2179
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/01 00:00:00",TAS1,18533.203103,957.28611315,0.0517
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/01 00:00:00",VIC1,101387.89122701,87299.91959013,0.8610
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/02 00:00:00",NEM,529555.63684749,402053.50773057,0.7592
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/02 00:00:00",NSW1,185727.151569,153118.28169140,0.8244
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/02 00:00:00",QLD1,160317.97136250,128418.89706146,0.8010
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/02 00:00:00",SA1,33014.327693,15170.13573823,0.4595
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/02 00:00:00",TAS1,27726.73175899,913.96621853,0.0330
D,CO2EII,PUBLISHING,1,2019,5,"2019/02/02 00:00:00",VIC1,122769.454464,104432.22702095,0.8506
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/03 00:00:00",NEM,546459.67732424,401407.21147014,0.7346
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/03 00:00:00",NSW1,180611.253766,150087.15561274,0.8310
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/03 00:00:00",QLD1,167510.25759725,132184.74056883,0.7891
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/03 00:00:00",SA1,43713.12121699,13367.06238766,0.3058
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/03 00:00:00",TAS1,23727.134615,852.48634876,0.0359
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/03 00:00:00",VIC1,130897.910129,104915.76655215,0.8015
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/04 00:00:00",NEM,567124.36269293,420653.99857640,0.7417
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/04 00:00:00",NSW1,191486.14571776,156526.37409677,0.8174
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/04 00:00:00",QLD1,185420.65467918,142929.48962457,0.7708
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/04 00:00:00",SA1,42945.985816,10092.82671024,0.2350
D,CO2EII,PUBLISHING,1,2019,6,"2019/02/04 00:00:00",TAS1,18730.476662,482.17690338,0.0257
