ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1951-07-01,5.777557704E7,32.7599983215332,0.0,133589.9071404899,500676.0,48.0
1,1951-08-01,5.506216728E7,32.7599983215332,0.0,127315.90049188443,503001.0,48.0
1,1951-09-01,5.094069132E7,32.7599983215332,0.0,117786.12759997613,505326.0,48.0
1,1951-10-01,5.18561283E7,32.7599983215332,0.0,119902.82977719347,507651.0,48.0
1,1951-11-01,4.942522121999999E7,32.7599983215332,0.0,114282.03838806644,509976.0,48.0
1,1951-12-01,5.3656470029999994E7,32.7599983215332,0.0,124065.61776522319,512301.0,48.0
1,1952-01-01,5.7530276519999996E7,33.29999923706055,0.0,134340.16455328255,514633.0,48.0
1,1952-02-01,5.903093862E7,33.29999923706055,0.0,137844.37385004864,516734.0,48.0
1,1952-03-01,5.451874452E7,33.29999923706055,0.0,127307.88275612963,518835.0,48.0
1,1952-04-01,5.391761214E7,33.29999923706055,0.0,122006.67229718853,520936.0,48.0
1,1952-05-01,5.723480682E7,33.29999923706055,0.0,129512.9337485122,523037.0,48.0
1,1952-06-01,5.853386364E7,33.29999923706055,0.0,132452.48520700375,525138.0,48.0
1,1952-07-01,5.9854992089999996E7,33.29999923706055,0.0,135441.98112609077,527239.0,48.0
1,1952-08-01,5.894592027E7,33.29999923706055,0.0,133384.9014408815,529340.0,48.0
1,1952-09-01,5.504294655E7,33.29999923706055,0.0,124553.1014071851,531441.0,48.0
1,1952-10-01,5.449484499E7,33.29999923706055,0.0,123312.84490876873,533542.0,48.0
1,1952-11-01,5.403448779000001E7,33.29999923706055,0.0,122271.14263560127,535643.0,48.0
1,1952-12-01,5.399665685999999E7,33.29999923706055,0.0,122185.52056298949,537744.0,48.0
1,1953-01-01,5.9343811529999994E7,33.29999923706055,0.0,137733.38703704646,539848.0,48.0
1,1953-02-01,5.87205228E7,33.29999923706055,0.0,136286.7606906295,542378.0,48.0
1,1953-03-01,6.054309201E7,33.29999923706055,0.0,140516.82919499654,544908.0,48.0
1,1953-04-01,5.657382753E7,33.29999923706055,0.0,121251.75292326955,547438.0,48.0
1,1953-05-01,6.182335362E7,33.29999923706055,0.0,132502.790164676,549968.0,48.0
1,1953-06-01,6.425832975E7,33.29999923706055,0.0,137721.54832510377,552498.0,47.0
1,1953-07-01,6.507003441E7,33.29999923706055,0.0,139461.23286083355,555028.0,47.0
1,1953-08-01,6.539541518999999E7,33.29999923706055,0.0,140158.61284553914,557558.0,47.0
1,1953-09-01,5.892926879999999E7,33.29999923706055,0.0,126300.04813970796,560088.0,47.0
1,1953-10-01,5.9278576050000004E7,33.29999923706055,0.0,127048.70026774099,562618.0,47.0
1,1953-11-01,6.183749165999999E7,33.29999923706055,0.0,132533.09544433124,565148.0,47.0
1,1953-12-01,5.982976347E7,33.29999923706055,0.0,128230.03170282577,567678.0,47.0
1,1954-01-01,7.502735778E7,33.29999923706055,0.0,156813.96872604106,570212.0,47.0
1,1954-02-01,7.074546345E7,33.29999923706055,0.0,147864.430900856,572566.0,47.0
1,1954-03-01,6.805244939999999E7,33.29999923706055,0.0,142235.77468490993,574920.0,47.0
1,1954-04-01,6.6788301510000005E7,33.29999923706055,0.0,139593.5953784369,577274.0,47.0
1,1954-05-01,7.317373661999999E7,33.29999923706055,0.0,152939.7327244681,579628.0,47.0
1,1954-06-01,7.59341583E7,33.29999923706055,0.0,137391.35420306423,581982.0,49.0
1,1954-07-01,7.672879311000001E7,33.29999923706055,0.0,138829.12549186242,584336.0,49.0
1,1954-08-01,7.586249273999998E7,33.29999923706055,0.0,137261.6957663662,586690.0,49.0
1,1954-09-01,6.850529567999999E7,33.29999923706055,0.0,123949.9614946758,589044.0,49.0
1,1954-10-01,6.720279147E7,33.29999923706055,0.0,121593.25626572383,591398.0,49.0
1,1954-11-01,6.522148761000001E7,33.29999923706055,0.0,118008.40792874855,593752.0,48.0
1,1954-12-01,6.800306139E7,33.29999923706055,0.0,123041.24458032812,596106.0,47.0
1,1955-01-01,8.196160724999999E7,31.080001831054688,0.0,148284.90333954757,598463.0,47.0
1,1955-02-01,8.032239653999999E7,31.080001831054688,0.0,145319.26920940395,600801.0,47.0
1,1955-03-01,7.955699712E7,31.080001831054688,0.0,143934.4937631423,603139.0,47.0
1,1955-04-01,7.556163186E7,31.080001831054688,0.0,136706.09437925537,605477.0,48.0
1,1955-05-01,8.286128360999998E7,31.080001831054688,0.0,149912.62336105542,607815.0,48.0
