Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),System Production In Spot,System Production Off Spot,Number of Active Actors
1947-07-01,87.53332646624403,32.47999954223633,0.0,0.19983224703716704,415023.0,3056746.9196328693,1590943.704532769,51.0
1947-08-01,84.3180024223689,32.47999954223633,0.0,0.1924919125046138,416328.0,2998763.8989890385,1525866.7959429214,51.0
1947-09-01,78.69622521448257,32.47999954223633,0.0,0.17965778982029967,417633.0,2605921.18214153,1447453.0162774806,51.0
1947-10-01,80.08509948071075,32.47999954223633,0.0,0.18282848374007196,418938.0,2428812.04071784,1545171.3620938049,51.0
1947-11-01,78.2887817286665,32.47999954223633,0.0,0.17872763453646714,420243.0,2283054.514445374,1566772.2902725085,51.0
1947-12-01,78.76191960939205,32.47999954223633,0.0,0.1798077734424498,421548.0,2396723.2534879637,1797439.1364749172,51.0
1948-01-01,93.3155678147274,36.92000198364258,0.0,0.22127927016313673,422858.0,3205134.093026381,2045346.118462832,51.0
1948-02-01,98.66740352845245,36.92000198364258,0.0,0.2339700903376362,424322.0,2944943.0792994727,1784636.6809522002,51.0
1948-03-01,90.33973529249435,36.92000198364258,0.0,0.21422268161031827,425786.0,2801003.72598514,2055997.6233521472,51.0
1948-04-01,85.15422944704505,36.92000198364258,0.0,0.189444211288931,427250.0,2343461.866597024,2781598.164431607,51.0
1948-05-01,92.86509515959358,36.92000198364258,0.0,0.20659870506098985,428714.0,2717705.8767923983,2873988.659938441,51.0
1948-06-01,90.14042951406162,36.92000198364258,0.0,0.20053707293839287,430178.0,2998132.242821586,2730707.1248128247,51.0
1948-07-01,91.9944580810023,36.92000198364258,0.0,0.20466179982341368,431642.0,2953158.7960082437,2966360.0767621454,51.0
1948-08-01,90.65943332867704,36.92000198364258,0.0,0.2016917068749095,433106.0,2893122.0342287016,2877938.729674257,50.0
1948-09-01,83.46564204270888,36.92000198364258,0.0,0.18568754162561202,434570.0,2359434.512129286,2950189.3800777253,50.0
1948-10-01,85.59137590187922,36.92000198364258,0.0,0.19041671666264878,436034.0,2129797.6287799748,3115032.334674838,50.0
1948-11-01,84.18044732490206,36.92000198364258,0.0,0.18727779991355484,437498.0,1973126.6351034562,3116569.8123751637,50.0
1948-12-01,82.7823738871474,36.92000198364258,0.0,0.18416748075288064,438962.0,2041310.5493767373,3508821.2948767412,50.0
1949-01-01,97.85192125724575,32.65999984741211,0.0,0.22619851435331337,440431.0,2315935.7631021747,3958178.757435787,50.0
1949-02-01,103.80157983841418,32.65999984741211,0.0,0.23995199016304258,442118.0,1947673.1822396615,3600919.820341136,50.0
1949-03-01,96.91322589594529,32.65999984741211,0.0,0.22402860115438106,443805.0,1900372.8848724302,3965044.5552392555,50.0
1949-04-01,93.75955755097735,32.65999984741211,0.0,0.21673845023920452,445492.0,1422527.7799771775,4780999.447855644,50.0
1949-05-01,101.64367729421552,32.65999984741211,0.0,0.2349636632640671,447179.0,1968491.8533431143,4479595.938796983,50.0
1949-06-01,99.87414813106807,32.65999984741211,0.0,0.23087315317138632,448866.0,2336246.929553302,4150501.1456456413,50.0
1949-07-01,101.3523676043662,32.65999984741211,0.0,0.23429025826230426,450553.0,1914224.477378719,5142907.65374719,50.0
1949-08-01,98.83376532648593,32.65999984741211,0.0,0.22846817248484544,452240.0,1800920.3402352838,5159315.352517331,50.0
1949-09-01,90.8979186769018,32.65999984741211,0.0,0.21012333990707974,453927.0,1412162.822674448,4933176.178791063,50.0
1949-10-01,93.36277357313428,32.65999984741211,0.0,0.21582121703310944,455614.0,1142746.3181552733,5195779.50635761,50.0
1949-11-01,91.2535930929519,32.65999984741211,0.0,0.21094552697502786,457301.0,1023219.1061673606,5176518.125632087,50.0
1949-12-01,91.5015326517251,32.65999984741211,0.0,0.21151868784706576,458988.0,1074392.2355326428,5712920.211756515,50.0
1950-01-01,114.31946783986247,34.31999969482422,0.0,0.27640412143359055,460679.0,1244826.3461519405,6350668.321294634,50.0
1950-02-01,104.96436709110314,34.31999969482422,0.0,0.2537851185775977,462849.0,1100088.8661636442,5434417.4127510255,50.0
1950-03-01,103.10463288865616,34.31999969482422,0.0,0.24928862540071134,465019.0,971070.967887407,6006313.06729457,50.0
1950-04-01,96.00746766833123,34.31999969482422,0.0,0.22460324987704305,467189.0,664937.6429407374,6908207.49977387,50.0
1950-05-01,102.24788454839472,34.31999969482422,0.0,0.2392022916970253,469359.0,1054419.1741386026,6606233.609655612,50.0
1950-06-01,102.03711125137585,34.31999969482422,0.0,0.2387091798954501,471529.0,1413591.3861816816,6180710.213191163,48.0
1950-07-01,106.1593503997264,34.31999969482422,0.0,0.2483528751545748,473699.0,1516524.2002929777,6080213.162580882,48.0
1950-08-01,101.5756010320067,34.31999969482422,0.0,0.23762951305369714,475869.0,1484803.9865896627,5927166.270395877,48.0
1950-09-01,92.90812471628884,34.31999969482422,0.0,0.21735252919526132,478039.0,1108023.8099050864,5673363.448608324,48.0
1950-10-01,96.71493623089113,34.31999969482422,0.0,0.226258293629737,480209.0,841094.6356319223,5962457.985030564,48.0
