Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
2026-10-01,347.1673789952378,17.6827449798584,42.96772766113281,0.3862520030682565,2982238.0,0.19052968407019083,3135200.928116049,0.0,320257.7424404189,161822.41228060419,2937265.645170113,227718.75297051735,66622.1173754182,12998.569530000044,10538.621576422509,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,328.4064735591266,17.6827449798584,38.53262710571289,0.3652463108565301,2986626.0,0.1794526290505471,2910363.224789375,0.0,359017.08599575976,202271.80092771104,2776671.776045588,167474.250961957,59638.493781828634,12596.191200000008,13150.433265755055,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,344.9402318076746,17.7288761138916,52.112571716308594,0.3644657757043499,2991014.0,0.2168976113933722,2936612.763330172,0.0,495662.9883285161,325431.8511517041,2761363.9003184987,163073.21115392953,98376.5386630452,22792.570869573312,21179.201937251266,0.0,194.0,6741.916110190223,11.0,2.0,1227.4111323079896,0.0,0.0,0.0,0.0
2027-01-01,380.89882867219245,17.7288761138916,62.2585334777832,0.3787374998239849,2995404.0,0.27880812415667583,3224081.567697205,0.0,573958.5821945386,402122.15090475034,2873399.2122706487,260908.21475851952,170104.49636773084,24334.8764783507,26202.218048601542,0.0,194.0,5050.270943481925,9.0,2.0,1154.3033332044479,0.0,0.0,0.0,0.0
2027-02-01,327.5396885850752,17.7288761138916,48.76274871826172,0.3287725786040465,2999792.0,0.2597033740402795,2685343.987912918,0.0,588298.7967588688,428503.1569867014,2500312.3714419557,163289.75456888025,100041.16642098408,16597.531761226055,27833.040545617794,0.0,194.0,1473.4218379192757,4.0,0.0,525.3763652383591,0.0,0.0,0.0,0.0
2027-03-01,363.60042507439636,17.7288761138916,52.76840591430664,0.36173172706073586,3004180.0,0.2671882932648736,2951510.411160094,0.0,686505.732767974,507287.53551740485,2751970.1903735213,187017.1246063654,96656.46307927523,20655.249916582536,32940.45401428572,0.0,194.0,2987.937571433592,7.0,2.0,724.9486848371671,0.0,0.0,0.0,0.0
2027-04-01,327.27390988004925,17.7288761138916,38.53541564941406,0.3366979723791417,3008568.0,0.23721466034651387,2683684.835682685,0.0,602224.9442560488,432745.6098764228,2574641.725834512,144968.85535460606,53899.17429356506,12613.685910000011,28014.6595515057,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,370.5176494445986,17.7288761138916,48.33068084716797,0.37224089589232545,3012956.0,0.2747324595980276,3127609.90248929,0.0,593507.6126958621,420492.77508515515,2848969.098180186,265308.330744001,105873.30246857993,13165.582536519472,27198.27931502695,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-01,389.47241348682815,17.7288761138916,61.632694244384766,0.38195901426671763,3017344.0,0.30999187414197754,3426514.1971098846,0.0,490669.65033154195,328767.13048064633,2929247.7899282114,388783.70683393686,195329.81262978454,15449.414917951679,21265.288688988006,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-07-01,399.72563748207983,17.7288761138916,64.17524719238281,0.4044188114870473,3021732.0,0.29505130892966375,3674217.366729247,0.0,351939.4172859728,194911.57587826918,3111392.8558848416,445252.9596434807,209862.98231422485,13414.98032670092,12585.830957870734,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-08-01,395.7737548411828,17.7288761138916,65.28165435791016,0.4040077928616276,3026120.0,0.2896427353455932,3688063.716184213,0.0,304082.3342543987,150220.7354442219,3113877.187652048,448864.5457071852,217524.1756049587,13504.218660021406,9691.819109153384,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-09-01,347.80658061288733,17.7288761138916,52.35978317260742,0.37891032994651724,3030508.0,0.22301063929935752,3239768.574857955,0.0,273624.65630680195,126087.74094836802,2925354.5000665803,304910.426754541,99203.9840368348,12596.191200000008,8134.826204454533,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-10-01,341.74262066970334,17.7288761138916,44.91315841674805,0.3799899035153353,3034896.0,0.1909529094049529,3143151.892897516,0.0,318218.80571489263,163623.29955507806,2940502.581895752,227714.2422348906,67500.83216687276,12998.569530000044,10538.621576422509,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-11-01,323.2689220553262,17.7288761138916,40.30073547363281,0.35939428884716784,3039284.0,0.1796219651483741,2917605.0547635686,0.0,357371.8135540556,204347.48848600665,2780318.90126427,167025.0101240709,59961.47937522794,12596.191200000008,13150.433265755055,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-12-01,339.55266451181336,18.042938232421875,54.181724548339844,0.35862678041560064,3043672.0,0.21688927180735754,2943102.1934730927,0.0,494877.75602038595,328491.61084357405,2764717.7592269373,161764.9091382512,98857.15216744148,22910.824656298213,21179.20295864444,0.0,194.0,6924.779700694471,11.0,2.0,1248.0344320449758,0.0,0.0,0.0,0.0
