Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1959,1876.379445998467,31.46000099182129,0.0,3.4460711831376964,735235.0
2002,7144.125718843361,15.272667249043783,43.75612719853719,5.913939014805685,2009524.0
2003,7210.035404753331,19.147610982259113,52.271648248036705,5.979411382990991,2041274.0
2004,7224.830625826128,20.656359990437824,56.5594425201416,6.083213463668556,2073511.0
2005,7098.569259787513,21.33809487024943,56.80388927459717,6.079782981049514,2121897.0
1950,1204.3659958360317,34.31999969482422,0.0,2.84280689002576,484549.0
2006,7167.913043584909,21.67712386449178,61.520728747049965,6.203321246367289,2160537.0
1951,1272.9661144679894,32.7599983215332,0.0,2.9883693614116957,512301.0
2007,7131.008914666183,23.24845250447591,67.51845677693684,6.265262242035756,2197670.0
1952,1287.3844068123103,33.29999923706055,0.0,2.9370729938238798,537744.0
2008,7080.822773639426,23.0810333887736,64.76022434234619,6.410093387984705,2234567.0
1953,1321.274237495414,33.29999923706055,0.0,2.8903320654680464,567678.0
2009,6930.0577550907965,23.19892676671346,69.38534704844157,6.418470230875812,2271379.0
1954,1460.3922304959854,33.29999923706055,0.0,2.815139341778325,596106.0
2010,6852.1202936218815,19.405161301294964,55.73697598775228,6.551267419884146,2308205.0
2011,6640.860842997579,15.433874289194742,47.36809762318929,6.670422790806582,2345086.0
2012,6546.463460048318,14.374969244003296,47.19205586115519,6.745985553958855,2382031.0
1944,955.3997632119505,35.400001525878906,0.0,2.107799702935389,384333.0
1945,940.8115794073279,34.79999923706055,0.0,2.1033051954435944,391552.0
1946,966.1615677054584,33.63999938964844,0.0,2.1517389338336126,405937.0
1947,981.2268796586379,32.47999954223633,0.0,2.240069997509919,421548.0
1948,1069.1561913226913,36.92000198364258,0.0,2.4199550770524243,438962.0
1949,1161.0460608934313,32.65999984741211,0.0,2.6839215031013337,458988.0
1940,721.6432088218157,40.25,0.0,1.4983869595595172,354398.0
1941,784.6233945381646,39.099998474121094,0.0,1.6569810592604182,366540.0
1942,884.2819690155061,34.875,0.0,1.90290333684663,372624.0
1943,952.2216022244248,33.75,0.0,2.0376285752767083,376266.0
2000,7202.0341250465735,16.893907070159912,41.355563481648765,5.902383726192464,1946073.0
2001,7186.911506325179,17.21476395924886,40.40402364730835,5.91087123073536,1977731.0
1933,526.677216561746,184.10000610351562,0.0,1.1186023613596938,254841.0
1934,531.9029939527538,59.03999710083008,0.0,1.1417027620685867,284948.0
1935,535.7651838350872,57.400001525878906,0.0,1.174410520508074,297269.0
1936,577.3048114613525,50.0,0.0,1.2719648619894643,306637.0
1937,602.9867276441648,47.5,0.0,1.3452622029260883,318333.0
1938,632.5796934309076,47.5,0.0,1.3631043142992862,329096.0
1939,663.1023504938287,42.54999923706055,0.0,1.3597565246317784,340476.0
1930,562.7478172934979,135.8000030517578,0.0,1.1699625119199974,225165.0
1931,502.978856233857,176.06666564941406,0.0,1.0311639718131917,229171.0
1932,512.7197470686834,179.7166748046875,0.0,1.0713755369165332,247740.0
1927,623.9604665460638,155.26666259765625,0.0,1.1909656936527093,157969.0
1928,624.527417267031,138.72000122070312,0.0,1.2354652045114816,189746.0
1929,555.3243721538088,139.54286193847656,0.0,1.1439685938326403,199478.0
1999,6865.840507151135,20.128172397613525,35.308366775512695,5.582252213038073,1913969.0
1991,5461.66081774461,32.6609992980957,0.0,3.6543909038671005,1672760.0
1992,5582.628943456028,33.4530029296875,0.0,3.73401728369499,1701667.0
1993,5701.106117932096,34.50299835205078,0.0,3.791688818288281,1730441.0
1994,5814.439233797713,33.487998962402344,0.0,3.721885003961052,1760059.0
1995,5921.314267686884,31.31999969482422,0.0,3.9270307119861845,1790511.0
1996,6023.783616420056,29.15500259399414,0.0,4.153215957153624,1820812.0
1997,6123.247685561663,28.983501434326172,0.0,4.3419001288210595,1851354.0
1998,6218.5241508560675,29.063997268676758,0.0,4.51142111506791,1882431.0
1988,5143.756921902495,26.219999313354492,0.0,3.5605091653105436,1581904.0
1989,5210.041417493404,25.65199851989746,0.0,3.3405736815458935,1612789.0
2035,6285.564322150855,82.25988578796387,254.2994530995687,1.958193816050686,3470790.0
1980,4035.9143415075487,24.080001831054688,0.0,3.8077938261625586,1355205.0
1981,4301.280790683331,22.007999420166016,0.0,4.0222014893575215,1378535.0
