Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2006,7167.912164389048,20.856000900268555,8.248994878788524,2160537.0
1995,5921.31528669643,33.93000030517578,6.714803597444544,1790511.0
1951,1272.9688059066007,27.0,1.574118561843681,512301.0
2007,7130.934632983067,20.124000549316406,8.24576533736807,2197670.0
1996,6023.782848475216,28.39000129699707,6.831003126939588,1820812.0
1952,1287.389979871762,28.5,1.5919558014987083,537744.0
2008,7078.171731128404,19.18800163269043,8.242083240089192,2234567.0
1997,6123.243668707493,27.715999603271484,6.943788947527357,1851354.0
1953,1321.2698361168837,28.5,1.633860110464274,567678.0
2009,6827.209151706808,21.17500114440918,7.838346524412241,2271379.0
1998,6218.522353404136,26.20800018310547,7.051841106452752,1882431.0
1954,1460.3847160243045,28.5,1.805885993042217,596106.0
2010,6701.700957879288,23.009998321533203,7.490806063240234,2308205.0
2011,6461.228779205147,25.308000564575195,7.3305245919631865,2345086.0
2012,6303.86784889674,26.4320011138916,6.978818629781836,2382031.0
1988,5143.759305954603,26.219999313354492,5.818233603396522,1581904.0
1944,955.3927691666463,27.0,1.2065732618398648,384333.0
1989,5210.041860838758,25.65199851989746,5.88690484655932,1612789.0
1945,940.8198430756386,27.0,1.18814595837523,391552.0
1946,966.1648243223585,26.099998474121094,1.2201904127664762,405937.0
1947,981.2274847197377,25.19999885559082,1.2392041756039986,421548.0
1948,1069.1519494517079,28.600000381469727,1.3501840581791602,438962.0
1949,1161.052065850332,25.30000114440918,1.466298410535334,458988.0
1980,4035.9154668633114,8.600000381469727,5.155641193240351,1355205.0
1981,4301.283947587493,7.860000133514404,5.493970337468786,1378535.0
1982,4443.805208040688,9.531000137329102,5.687376703315636,1400388.0
1983,4375.490336447926,9.309000015258789,5.602838414663084,1425363.0
1984,4435.52866499187,22.79199981689453,5.02604575186985,1454652.0
1940,721.6402846466815,31.5,0.9113646200153757,354398.0
1985,4434.750880288609,21.386001586914062,5.022353910155989,1488835.0
1941,784.6256326379201,30.599998474121094,0.9909148364277419,366540.0
1986,4522.5405511705785,28.35500144958496,5.120364919659389,1518758.0
1942,884.2824513307988,27.899999618530273,1.116731944291297,372624.0
1987,4722.676734949171,27.328001022338867,5.345940441673241,1548587.0
1943,952.2313145189261,27.0,1.2025696815177471,376266.0
2000,7202.0356616582,23.05500030517578,8.095722763873361,1946073.0
2001,7186.909528237323,24.472000122070312,8.076658620234907,1977731.0
1990,5337.923289727064,23.83700180053711,6.02770047206224,1642964.0
1977,3772.648041170034,5.579999923706055,4.852729037073635,1281013.0
1933,526.6851873658302,54.599998474121094,0.6789989462036276,254841.0
1978,3831.843236433231,6.720999717712402,4.93131147674849,1305640.0
1934,531.8960482965117,53.29999923706055,0.6857024585813899,284948.0
1979,3980.303137215056,6.161999702453613,5.081486796932716,1330523.0
1935,535.7684643509455,53.29999923706055,0.6907094008267043,297269.0
1936,577.2846505461251,40.0,0.7442454465374888,306637.0
1937,602.990854239918,38.0,0.7773812489488765,318333.0
1938,632.5965694822282,38.0,0.8155277305058705,329096.0
1939,663.1115966433288,33.29999923706055,0.8548916844022698,340476.0
1970,3014.0320006042143,11.59000015258789,3.868115246429171,1077383.0
1971,3108.1946432323784,10.920000076293945,3.988969683271677,1109081.0
1972,3140.45614132629,10.300000190734863,4.030362720480512,1141526.0
1973,3259.804221441652,9.4399995803833,4.185508918654627,1174009.0
1974,3406.6573716373787,8.180000305175781,4.375941891152601,1197251.0
1930,562.7490848869165,63.0,0.7254669977608119,225165.0
1975,3554.754135053873,7.099999904632568,4.568758943880867,1223656.0
1931,502.9861221408645,68.4000015258789,0.64843360888686,229171.0
1976,3638.929569980577,6.269999980926514,4.679929887134692,1253196.0
1932,512.7113487522116,53.29999923706055,0.6609667869078608,247740.0
