Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2003-09-01,1.997404269529085,23.61600112915039,2.4198816723504413,2033339.0
2003-10-01,2.028183915001297,23.61600112915039,2.4571777995114767,2035984.0
2003-11-01,1.8794493750456802,23.61600112915039,2.276978474499449,2038629.0
2003-12-01,1.9718469935932168,23.61600112915039,2.388919195445118,2041274.0
2004-01-01,1.9023386911725062,22.959999084472656,2.3047125734713223,2043921.0
2004-02-01,1.9162557027202531,22.959999084472656,2.3215698409672685,2046611.0
2004-03-01,2.0041955769308655,22.959999084472656,2.4281099399257253,2049301.0
2004-04-01,1.894252947503181,22.959999084472656,2.294919216088827,2051991.0
2004-05-01,2.089448435061209,22.959999084472656,2.5313898858225317,2054681.0
2004-06-01,2.10158984451516,22.959999084472656,2.5461046739135273,2057371.0
2004-07-01,2.1909691023712403,22.959999084472656,2.6543896946620276,2060061.0
2004-08-01,2.1524410847455657,22.959999084472656,2.6077034448429868,2062751.0
2004-09-01,1.9972344889057592,22.959999084472656,2.4196762344459644,2065441.0
2004-10-01,1.9711227190153815,22.959999084472656,2.388041977286972,2068131.0
2004-11-01,1.9346722869818298,22.959999084472656,2.3438827657153674,2070821.0
2004-12-01,1.9282559870673461,22.959999084472656,2.336106879788958,2073511.0
2005-01-01,1.9713101271889117,22.0570011138916,2.388265020463475,2076203.0
2005-02-01,1.8166737728187998,22.0570011138916,2.2009295916044866,2080357.0
2005-03-01,1.9669745086497505,22.0570011138916,2.3830143662383945,2084511.0
2005-04-01,1.8918208520753688,22.0570011138916,2.26178811055914,2088665.0
2005-05-01,2.054578059545522,22.0570011138916,2.5385131114972284,2092819.0
2005-06-01,2.044809351384114,22.0570011138916,2.5701175584577785,2096973.0
2005-07-01,2.134383119154625,22.0570011138916,2.662870704026783,2101127.0
2005-08-01,2.1218307674842456,22.0570011138916,2.631854387948142,2105281.0
2005-09-01,1.9522336549834434,22.0570011138916,2.386927653409956,2109435.0
2005-10-01,1.915968525574272,22.0570011138916,2.386442611675394,2113589.0
2005-11-01,1.8667562589039368,22.0570011138916,2.3286707227660184,2117743.0
2005-12-01,1.9245561872230368,22.0570011138916,2.387259463083718,2121897.0
2006-01-01,1.9997112017956287,20.856000900268555,2.4699054303572234,2126052.0
2006-02-01,1.80879838172974,20.856000900268555,2.226182978757012,2129187.0
2006-03-01,2.0134857680969382,20.856000900268555,2.550760106586964,2132322.0
2006-04-01,1.872194101777746,20.856000900268555,2.3991499980038826,2135457.0
2006-05-01,2.1053852254193415,20.856000900268555,2.6400262272818598,2138592.0
2006-06-01,2.117622834282801,20.856000900268555,2.5559742367722333,2141727.0
2006-07-01,2.1503854327224783,20.856000900268555,2.614203442056966,2144862.0
2006-08-01,2.1097375834323793,20.856000900268555,2.5600800028414876,2147997.0
2006-09-01,1.9334889723178308,20.856000900268555,2.3411692739341468,2151132.0
2006-10-01,1.9654759600365228,20.856000900268555,2.4196346250850245,2154267.0
2006-11-01,1.8950941919957431,20.856000900268555,2.367287968741326,2157402.0
2006-12-01,1.9216611425770538,20.856000900268555,2.486991657648177,2160537.0
2007-01-01,1.9904468313244104,20.124000549316406,2.5096295037370853,2163680.0
2007-02-01,1.9356046096263102,20.124000549316406,2.4276854626306617,2166770.0
2007-03-01,1.9843768722406054,20.124000549316406,2.471781430416716,2169860.0
2007-04-01,1.8190524402310224,20.124000549316406,2.199410534500624,2172950.0
2007-05-01,1.9760712119262513,20.124000549316406,2.415552176254438,2176040.0
2007-06-01,2.078237645298812,20.124000549316406,2.4841877644066273,2179130.0
2007-07-01,2.1871397017715903,20.124000549316406,2.7018867920577425,2182220.0
2007-08-01,2.0962426383442168,20.124000549316406,2.666385814452008,2185310.0
2007-09-01,1.9282946444891245,20.124000549316406,2.4282973633359086,2188400.0
2007-10-01,1.9620395256195557,20.124000549316406,2.5328316730765006,2191490.0
2007-11-01,1.8977116350281147,20.124000549316406,2.384406698471073,2194580.0
2007-12-01,1.9145640610282708,20.124000549316406,2.387400091589491,2197670.0
2008-01-01,1.9980288663391441,19.18800163269043,2.5199060746978246,2200764.0
2008-02-01,1.8648520739056473,19.18800163269043,2.38303292186391,2203837.0
2008-03-01,1.9903258402019113,19.18800163269043,2.4803269148945795,2206910.0
2008-04-01,1.870638823918555,19.18800163269043,2.2937359275329934,2209983.0
2008-05-01,2.0361346481968825,19.18800163269043,2.4570292502515723,2213056.0
2008-06-01,1.9942566520270255,19.18800163269043,2.483327318611563,2216129.0
2008-07-01,2.1682028044315027,19.18800163269043,2.7182834083986473,2219202.0
2008-08-01,2.1545668290378104,19.18800163269043,2.690755150959447,2222275.0
2008-09-01,1.927347992314011,19.18800163269043,2.394531597096405,2225348.0
2008-10-01,1.9450094932690007,19.18800163269043,2.4616863851767095,2228421.0
2008-11-01,1.8297069138433713,19.18800163269043,2.355992592577093,2231494.0
2008-12-01,1.8148348203477451,19.18800163269043,2.363820286185816,2234567.0
2009-01-01,1.966145612211426,21.17500114440918,2.3923495627269373,2237642.0
2009-02-01,1.8044065516762775,21.17500114440918,2.226038858515635,2240709.0
2009-03-01,1.8835525471348298,21.17500114440918,2.4019516314565212,2243776.0
2009-04-01,1.8076073851176961,21.17500114440918,2.2617726817327837,2246843.0
2009-05-01,1.9612384495379815,21.17500114440918,2.445253963231796,2249910.0
2009-06-01,1.99144509686517,21.17500114440918,2.468354112374912,2252977.0
2009-07-01,2.0299160831969587,21.17500114440918,2.4803643022530446,2256044.0
2009-08-01,1.9340838055323533,21.17500114440918,2.387684819463121,2259111.0
2009-09-01,1.8133542099693305,21.17500114440918,2.225769371598736,2262178.0
2009-10-01,1.8607920997507996,21.17500114440918,2.296918380203513,2265245.0
2009-11-01,1.8634517650129259,21.17500114440918,2.2655649272114258,2268312.0
2009-12-01,1.8413703745610046,21.17500114440918,2.306314614928125,2271379.0
2010-01-01,1.8748958542632372,23.009998321533203,2.3104918268987475,2274457.0
2010-02-01,1.794540125794448,23.009998321533203,2.1624493721299647,2277525.0
2010-03-01,1.8812694768422074,23.009998321533203,2.316911275241484,2280593.0
2010-04-01,1.72915332004181,23.009998321533203,2.0900069079727817,2283661.0
2010-05-01,1.8944614775078288,23.009998321533203,2.2702389161785965,2286729.0
2010-06-01,1.9647374854626851,23.009998321533203,2.368405947441467,2289797.0
2010-07-01,2.0530253634644864,23.009998321533203,2.5233853249892015,2292865.0
2010-08-01,2.0115787350937504,23.009998321533203,2.4473863679737713,2295933.0
2010-09-01,1.8535094156113894,23.009998321533203,2.2460719129227975,2299001.0
2010-10-01,1.7938689066226947,23.009998321533203,2.148130204989323,2302069.0
2010-11-01,1.7484340410136143,23.009998321533203,2.0291209892301576,2305137.0
2010-12-01,1.7395292012624528,23.009998321533203,1.99985272773164,2308205.0
2011-01-01,1.8275174437747346,25.308000564575195,2.2478145538733534,2311283.0
2011-02-01,1.6865166810983272,25.308000564575195,2.0106898130748556,2314356.0
2011-03-01,1.7878217628242332,25.308000564575195,2.2078398887252653,2317429.0
2011-04-01,1.680438112098158,25.308000564575195,2.1083502934142038,2320502.0
2011-05-01,1.8980665569219843,25.308000564575195,2.245645272934186,2323575.0
2011-06-01,1.8819348693915023,25.308000564575195,2.2547972759755144,2326648.0
2011-07-01,1.9455419769148323,25.308000564575195,2.350667290007941,2329721.0
2011-08-01,1.8819964386053805,25.308000564575195,2.320178239973788,2332794.0
2011-09-01,1.7471713928918042,25.308000564575195,2.1484300035988904,2335867.0
2011-10-01,1.7620118515224845,25.308000564575195,2.193698959833524,2338940.0
2011-11-01,1.709076764304895,25.308000564575195,2.092070365905837,2342013.0
