Time (Month),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1996-02-01,0.5222439019771862,28.39000129699707,0.6318934516078312,1795582.0
1996-03-01,0.5006141882704291,28.39000129699707,0.6057223645457513,1798105.0
1996-04-01,0.4872038741483527,28.39000129699707,0.5894964465949831,1800628.0
1996-05-01,0.5159019197504813,28.39000129699707,0.6242199032031277,1803151.0
1996-06-01,0.5098428620005605,28.39000129699707,0.6168886804650002,1805674.0
1996-07-01,0.5190479107088443,28.39000129699707,0.6280264208582916,1808197.0
1996-08-01,0.5112618185031369,28.39000129699707,0.6186055159304095,1810720.0
1996-09-01,0.4848707881403651,28.39000129699707,0.5866735427841931,1813243.0
1996-10-01,0.49336708997745304,28.39000129699707,0.5969537037932656,1815766.0
1996-11-01,0.4867689830934466,28.39000129699707,0.5889702441539897,1818289.0
1996-12-01,0.4865776230604807,28.39000129699707,0.5887387143233598,1820812.0
1997-01-01,0.514372000348811,27.715999603271484,0.6223687629357587,1823337.0
1997-02-01,0.5302524010287619,27.715999603271484,0.6415834003453486,1825884.0
1997-03-01,0.5089690286371211,27.715999603271484,0.615831387376577,1828431.0
1997-04-01,0.4957684499759145,27.715999603271484,0.5998592474577373,1830978.0
1997-05-01,0.5239784704326366,27.715999603271484,0.6339922118129065,1833525.0
1997-06-01,0.5180074637595912,27.715999603271484,0.6267675160358619,1836072.0
1997-07-01,0.5270479501190839,27.715999603271484,0.6377061206711184,1838619.0
1997-08-01,0.5193784808105298,27.715999603271484,0.6284263970712644,1841166.0
1997-09-01,0.4934114610028784,27.715999603271484,0.5970073888140813,1843713.0
1997-10-01,0.501755068354403,27.715999603271484,0.6071028187838519,1846260.0
1997-11-01,0.4952536622265061,27.715999603271484,0.5992363713507701,1848807.0
1997-12-01,0.49505324886542496,27.715999603271484,0.5989938171293727,1851354.0
1998-01-01,0.5223428360522744,26.20800018310547,0.6320131392314973,1853908.0
1998-02-01,0.5379431521986792,26.20800018310547,0.6508888681310571,1856501.0
1998-03-01,0.5169926184474803,26.20800018310547,0.6255396248147493,1859094.0
1998-04-01,0.5039917760074599,26.20800018310547,0.6098091084479302,1861687.0
1998-05-01,0.5317184449224366,26.20800018310547,0.6433572531934986,1864280.0
1998-06-01,0.5258280156175594,26.20800018310547,0.6362300511731345,1866873.0
1998-07-01,0.5347014535166726,26.20800018310547,0.6469665540635622,1869466.0
1998-08-01,0.5271407378186265,26.20800018310547,0.6378184184443677,1872059.0
1998-09-01,0.5015845607611439,26.20800018310547,0.606896493222411,1874652.0
1998-10-01,0.5097728319958237,26.20800018310547,0.6168039722443404,1877245.0
1998-11-01,0.503361160642566,26.20800018310547,0.6090461188447006,1879838.0
1998-12-01,0.5031465628753458,26.20800018310547,0.608786460647098,1882431.0
1999-01-01,0.5299388125799723,50.0,2.48702502465756E8,1885028.0
1999-02-01,0.5452661868483661,50.0,2.5842892210725608E8,1887659.0
1999-03-01,0.5246461521777082,50.0,2.5103272850269374E8,1890290.0
1999-04-01,0.5118444589076881,50.0,2.4717234352486238E8,1892921.0
1999-05-01,0.5390984393991829,50.0,2.6284340635946006E8,1895552.0
1999-06-01,0.6122828383775432,50.0,3.0172134658700085E8,1898183.0
1999-07-01,0.6390324092730798,50.0,3.183847846593676E8,1900814.0
1999-08-01,0.6323425420750272,50.0,3.184688601783381E8,1903445.0
1999-09-01,0.5873340045202815,50.0,2.9876372609318066E8,1906076.0
1999-10-01,0.5912059839462003,50.0,3.037448731792626E8,1908707.0
1999-11-01,0.5714589073204216,50.0,2.964179736100602E8,1911338.0
1999-12-01,0.5813897717256653,50.0,3.044932599641124E8,1913969.0
2000-01-01,0.5672755691838273,50.0,2.998952744294079E8,1916604.0
2000-02-01,0.5903590689856577,50.0,3.1510129660449517E8,1919283.0
2000-03-01,0.6090357145458651,50.0,3.2827710392654055E8,1921962.0
2000-04-01,0.552668069006116,50.0,3.0055532113881505E8,1924641.0
2000-05-01,0.6289971307307557,50.0,3.454859351276989E8,1927320.0
2000-06-01,0.6297738366703817,50.0,3.493377781055986E8,1929999.0
2000-07-01,0.6468037484775012,50.0,3.6240249573764014E8,1932678.0
2000-08-01,0.6375010527773429,50.0,3.6071430999598354E8,1935357.0
2000-09-01,0.5897178896573645,50.0,3.3670879143794405E8,1938036.0
2000-10-01,0.5999735922069959,50.0,3.45709333084984E8,1940715.0
2000-11-01,0.5740813494330023,50.0,3.3367680355082375E8,1943394.0
