ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2002-07-01,1307683.0292999998,73.03221130371094,1118698.52047385,1996274.0
1,2002-08-01,1286051.8881,73.03758239746094,1003651.1619366398,1998924.0
1,2002-09-01,1186853.9013,54.82499313354492,622869.4579989925,2001574.0
1,2002-10-01,1197718.5977999999,54.827117919921875,460450.9045867651,2004224.0
1,2002-11-01,1149700.9296,23.088666915893555,208076.92190739172,2006874.0
1,2002-12-01,1173603.828,22.777965545654297,175327.7723792815,2009524.0
1,2003-01-01,1200896.5245,22.789936065673828,128525.39575577092,2012179.0
1,2003-02-01,1125935.5239,57.068973541259766,270892.9620884785,2014824.0
1,2003-03-01,1193581.4375999998,57.56418991088867,528593.6409172439,2017469.0
1,2003-04-01,1142785.8849,57.65684509277344,739444.4637134653,2020114.0
1,2003-05-01,1249979.1771,76.73429870605469,1043512.0974903352,2022759.0
1,2003-06-01,1252547.0772,76.71685791015625,1169196.3937358656,2025404.0
1,2003-07-01,1325027.5881,76.4732437133789,1151016.3675203442,2028049.0
1,2003-08-01,1308328.5851999999,76.33045196533203,1033522.477377405,2030694.0
1,2003-09-01,1218419.6304,56.35929870605469,745151.0111733776,2033339.0
1,2003-10-01,1238805.5598,56.17354202270508,677634.7040185422,2035984.0
1,2003-11-01,1149450.6963,22.826005935668945,158292.0576558096,2038629.0
1,2003-12-01,1207523.2797,22.845653533935547,147837.01678994068,2041274.0
1,2004-01-01,1166467.5237,22.896278381347656,142717.19355240185,2043921.0
1,2004-02-01,1176548.0229,57.63480758666992,323285.4525158308,2046611.0
1,2004-03-01,1232158.647,57.96422576904297,506518.93362223834,2049301.0
1,2004-04-01,1166096.7651,78.65135955810547,835193.9787728154,2051991.0
1,2004-05-01,1287945.5643,78.80075073242188,1133865.0520430603,2054681.0
1,2004-06-01,1297125.8433,78.64105224609375,1238776.6185154286,2057371.0
1,2004-07-01,1354059.1949999998,78.32618713378906,1217492.3619123572,2060061.0
1,2004-08-01,1331983.7343000001,78.09906768798828,1042754.9194321897,2062751.0
1,2004-09-01,1237550.4108,78.10447692871094,885063.4865618392,2065441.0
1,2004-10-01,1222962.4182,56.74456024169922,455204.39023034816,2068131.0
1,2004-11-01,1201907.9538,56.915958404541016,355386.06558652647,2070821.0
1,2004-12-01,1199476.8573,22.88772964477539,147959.54886133998,2073511.0
1,2005-01-01,1227851.2692,24.148025512695312,178272.89247482576,2076203.0
1,2005-02-01,1133798.2311,58.02885055541992,381184.78975362127,2080357.0
1,2005-03-01,1230053.8941,58.21372985839844,477211.3013581638,2084511.0
1,2005-04-01,1185413.9769,58.34601974487305,756713.7088789123,2088665.0
1,2005-05-01,1289958.1337999997,80.00043487548828,1067395.3213964314,2092819.0
1,2005-06-01,1286374.1937,79.92382049560547,1181400.507509943,2096973.0
1,2005-07-01,1345383.3126,79.7001724243164,1235471.4198071943,2101127.0
1,2005-08-01,1340114.6799000003,79.46891784667969,1024061.7122412334,2105281.0
1,2005-09-01,1235434.104,79.4781723022461,842044.8956267036,2109435.0
1,2005-10-01,1214871.4149,57.18450164794922,431572.2802269389,2113589.0
1,2005-11-01,1185994.3131000001,57.348297119140625,264240.87184621795,2117743.0
1,2005-12-01,1225111.8762,22.87711524963379,170320.80221996797,2121897.0
1,2006-01-01,1275446.5940999999,22.886699676513672,174962.1920285157,2126052.0
1,2006-02-01,1155379.818,58.38079833984375,251906.3637751899,2129187.0
1,2006-03-01,1288020.9303,58.67520523071289,504230.12122681155,2132322.0
1,2006-04-01,1199395.8051,80.85710144042969,895362.596958374,2135457.0
1,2006-05-01,1350767.1795,80.89981079101562,1198670.3314779066,2138592.0
1,2006-06-01,1360611.7395000001,80.70437622070312,1288422.0421023425,2141727.0
1,2006-07-01,1383685.3949999998,80.40351867675781,1309156.2512645477,2144862.0
1,2006-08-01,1359513.0960000001,80.12936401367188,1055749.138684923,2147997.0
1,2006-09-01,1247758.233,80.08984375,769856.238323308,2151132.0
1,2006-10-01,1270248.2084999997,57.70747375488281,285840.831937654,2154267.0
1,2006-11-01,1226543.8395,57.971954345703125,310042.2070078007,2157402.0
1,2006-12-01,1245546.9015000002,22.852005004882812,86841.54678039413,2160537.0
1,2007-01-01,1292005.5089999998,24.38590431213379,212338.5613315933,2163680.0
1,2007-02-01,1258204.863,58.82522964477539,412210.5590780194,2166770.0
1,2007-03-01,1291748.6669999997,58.93385696411133,612014.8464889602,2169860.0
1,2007-04-01,1185815.6685,81.33068084716797,795595.081617054,2172950.0
1,2007-05-01,1290005.415,81.43816375732422,1129377.3516541505,2176040.0
1,2007-06-01,1358628.675,81.28265380859375,1267796.0752618562,2179130.0
1,2007-07-01,1431852.537,81.0090103149414,1300432.8297646085,2182220.0
1,2007-08-01,1374290.829,80.77715301513672,1059489.3985235794,2185310.0
1,2007-09-01,1265983.0784999998,80.73651885986328,815867.1769657633,2188400.0
1,2007-10-01,1289967.9945,57.96204376220703,518551.2544625355,2191490.0
1,2007-11-01,1249442.4209999999,58.021427154541016,276852.7545908079,2194580.0
1,2007-12-01,1262321.5559999999,24.206445693969727,184538.05236503837,2197670.0
1,2008-01-01,1319211.6855,22.894954681396484,177085.2354634507,2200764.0
1,2008-02-01,1232999.1179999998,58.80809783935547,422531.7028889532,2203837.0
1,2008-03-01,1317801.4095,58.908058166503906,696003.8985291607,2206910.0
1,2008-04-01,1240272.1409999998,81.77813720703125,902407.0578887261,2209983.0
1,2008-05-01,1351864.461,81.78998565673828,1212794.5487267696,2213056.0
1,2008-06-01,1325896.86,81.59413146972656,1260961.2919108083,2216129.0
1,2008-07-01,1443540.3029999998,81.35688018798828,1324823.7607903706,2219202.0
1,2008-08-01,1436456.439,81.12655639648438,1210717.460022578,2222275.0
1,2008-09-01,1286800.125,80.97804260253906,776629.8242625307,2225348.0
1,2008-10-01,1300407.5325000002,57.982421875,595547.7345966422,2228421.0
1,2008-11-01,1225032.4814999998,57.97536849975586,467726.4020077209,2231494.0
1,2008-12-01,1221807.507,24.297887802124023,191603.67113722285,2234567.0
1,2009-01-01,1324856.0564999997,22.86041831970215,96576.53842410228,2237642.0
1,2009-02-01,1218449.3939999999,58.54129409790039,399741.1732354138,2240709.0
1,2009-03-01,1272886.5735,81.81167602539062,799458.7548016381,2243776.0
1,2009-04-01,1227495.0329999998,81.84625244140625,931248.941711244,2246843.0
1,2009-05-01,1334071.338,81.76006317138672,1216421.5632741866,2249910.0
1,2009-06-01,1357571.172,81.52011108398438,1316203.9653944497,2252977.0
1,2009-07-01,1401418.932,81.20242309570312,1308150.0890119493,2256044.0
1,2009-08-01,1351483.497,80.92162322998047,1118489.7918209028,2259111.0
1,2009-09-01,1267240.8135,80.78458404541016,918605.7685862989,2262178.0
1,2009-10-01,1295439.6765000003,57.69757843017578,640328.9676695497,2265245.0
1,2009-11-01,1290144.6165000002,57.600704193115234,345873.1192744473,2268312.0
1,2009-12-01,1282924.4955,57.68160629272461,195608.27750458664,2271379.0
1,2010-01-01,1307311.9889999998,57.8565673828125,203773.45421735162,2274457.0
1,2010-02-01,1255215.915,58.001399993896484,497532.98200507066,2277525.0
1,2010-03-01,1310076.8625,81.3805160522461,790427.398646677,2280593.0
1,2010-04-01,1210438.3095,81.39960479736328,960430.833388555,2283661.0
1,2010-05-01,1321954.7040000001,81.27481842041016,1175721.4856440686,2286729.0
1,2010-06-01,1376332.8314999999,81.05384826660156,1326282.8965120576,2289797.0
1,2010-07-01,1433060.862,80.75170135498047,1372356.4520275723,2292865.0
1,2010-08-01,1426792.2885,80.44796752929688,1257229.8182515057,2295933.0
1,2010-09-01,1311516.669,80.22096252441406,986060.3795218734,2299001.0
1,2010-10-01,1270781.5304999999,57.198875427246094,620049.1749274642,2302069.0
1,2010-11-01,1239366.5640000002,57.10132598876953,530776.1005183285,2305137.0
1,2010-12-01,1237091.3175,57.04545974731445,311017.9673176567,2308205.0
1,2011-01-01,1295186.163,57.122623443603516,442604.60334870714,2311283.0
1,2011-02-01,1195899.9,80.6039810180664,613786.3622362931,2314356.0
