Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1998,6.218524150856068,26.20800018310547,4.504107107221563,1882431.0
1954,1.4603922304959855,28.5,2.1923053971134756,596106.0
2010,6.852120293621882,45.15219338734945,5.544741542935415,2308205.0
2011,6.640860842997578,43.9776414235433,5.5901486661863595,2345086.0
2012,6.546463460048318,43.44113413492838,5.7888010266309,2382031.0
1988,5.143756921902495,26.219999313354492,3.4837712146768034,1581904.0
1944,0.9553997632119502,27.0,1.3927007566987424,384333.0
1989,5.210041417493405,25.65199851989746,3.3835719683113634,1612789.0
1945,0.940811579407328,27.0,1.3964810035309314,391552.0
1946,0.9661615677054585,26.099998474121094,1.4625708059548845,405937.0
1947,0.981226879658638,25.19999885559082,1.5335045600168336,421548.0
1948,1.0691561913226912,28.600000381469727,1.683630540108893,438962.0
1949,1.1610460608934312,25.30000114440918,1.8795884871027981,458988.0
1980,4.035914341507549,8.600000381469727,3.819615526164261,1355205.0
1981,4.301280790683332,7.860000133514404,4.068502586016224,1378535.0
1982,4.443805396950331,9.531000137329102,3.3073336765849897,1400388.0
1983,4.375488662697194,9.309000015258789,3.3237735575163487,1425363.0
1984,4.435528323984895,22.79199981689453,3.154530451027016,1454652.0
1940,0.7216432088218155,31.5,0.9805906311954294,354398.0
1985,4.434753041478039,21.386001586914062,3.125193336492778,1488835.0
1941,0.7846233945381647,30.599998474121094,1.0854385449511343,366540.0
1986,4.5225391481726085,28.35500144958496,3.122758882744953,1518758.0
1942,0.8842819690155059,27.899999618530273,1.2477116334449625,372624.0
1987,4.722676378904762,27.328001022338867,3.2359837833230123,1548587.0
1943,0.9522216022244249,27.0,1.3645160332668587,376266.0
2000,7.202034125046574,51.7601531346639,5.695539391768667,1946073.0
2001,7.18691150632518,48.61806424458822,5.651118552224981,1977731.0
1990,5.337924127587657,23.83700180053711,3.485941900593523,1642964.0
1977,3.7726455389994955,5.579999923706055,3.3047324723762337,1281013.0
1933,0.5266772165617462,54.599998474121094,0.6951583075622134,254841.0
1978,3.8318448673110357,6.720999717712402,3.3645169023343016,1305640.0
1934,0.5319029939527538,53.29999923706055,0.709577538868463,284948.0
1979,3.9803028723081333,6.161999702453613,3.6067986600321302,1330523.0
1935,0.5357651838350872,53.29999923706055,0.7192320259080336,297269.0
1936,0.5773048114613525,40.0,0.7691194066091576,306637.0
1937,0.6029867276441648,38.0,0.8105813947605686,318333.0
1938,0.6325796934309077,38.0,0.8559466167127227,329096.0
1939,0.6631023504938286,33.29999923706055,0.8989061907845847,340476.0
1970,3.0140294756862867,11.59000015258789,2.45034686396687,1077383.0
1971,3.1081937657167926,10.920000076293945,2.5843429512197194,1109081.0
1972,3.1404529433456476,10.300000190734863,2.6803070041756354,1141526.0
1973,3.259802461303495,9.4399995803833,2.790841254496616,1174009.0
1974,3.4066569318501823,8.180000305175781,2.9241440054610672,1197251.0
1930,0.562747817293498,63.0,0.7432914217524675,225165.0
1975,3.5547528593423827,7.099999904632568,3.0481163683714856,1223656.0
1931,0.5029788562338571,68.4000015258789,0.6555896982108107,229171.0
1976,3.6389307916580775,6.269999980926514,3.1117822762073764,1253196.0
1932,0.5127197470686834,53.29999923706055,0.6719760739678157,247740.0
