ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2003-06-01,1.2525470772E9,18.986156463623047,70.15422821044922,1030960.0308394565,2025404.0
1,2003-07-01,1.3250275881000001E9,18.986156463623047,75.82913208007812,1082851.0731436391,2028049.0
1,2003-08-01,1.3083285851999998E9,18.986156463623047,68.0259780883789,1077021.6194764571,2030694.0
1,2003-09-01,1.2184196303999999E9,18.986156463623047,48.44172668457031,1018267.4751921375,2033339.0
1,2003-10-01,1.2388055598E9,18.986156463623047,42.09941101074219,1039108.8265034041,2035984.0
1,2003-11-01,1.1494506963E9,18.986156463623047,29.598127365112305,963364.1722588468,2038629.0
1,2003-12-01,1.2075232797E9,20.524450302124023,55.20243835449219,988785.0484678415,2041274.0
1,2004-01-01,1.1664675237E9,20.524450302124023,35.95207595825195,995907.036723746,2043921.0
1,2004-02-01,1.1765480229E9,20.524450302124023,61.503501892089844,988041.2602093332,2046611.0
1,2004-03-01,1.232158647E9,20.524450302124023,58.04933166503906,1045610.1646495598,2049301.0
1,2004-04-01,1.1660967651E9,20.524450302124023,44.111236572265625,995884.3695150047,2051991.0
1,2004-05-01,1.2879455643E9,20.524450302124023,66.71603393554688,1084630.939378936,2054681.0
1,2004-06-01,1.2971258433E9,20.58521842956543,75.15638732910156,1073989.0758972168,2057371.0
1,2004-07-01,1.3540591949999998E9,20.58521842956543,73.54585266113281,1111981.1096976968,2060061.0
1,2004-08-01,1.3319837343000002E9,20.58521842956543,69.78568267822266,1104425.507798124,2062751.0
1,2004-09-01,1.2375504108E9,20.58521842956543,55.77085876464844,1047038.0176406238,2065441.0
1,2004-10-01,1.2229624182E9,20.58521842956543,43.625892639160156,1042573.9206643031,2068131.0
1,2004-11-01,1.2019079538E9,20.58521842956543,50.138187408447266,1017870.9602977579,2070821.0
1,2004-12-01,1.1994768573E9,21.74275779724121,44.35826873779297,1015944.6898821215,2073511.0
1,2005-01-01,1.2278512692E9,21.74275779724121,55.60614013671875,1040971.3760527284,2076203.0
1,2005-02-01,1.1337982311E9,21.74275779724121,56.22061538696289,969523.2371782359,2080357.0
1,2005-03-01,1.2300538941E9,21.74275779724121,55.593570709228516,1063547.3441874837,2084511.0
1,2005-04-01,1.1854139768999999E9,21.74275779724121,49.23868179321289,1032421.8860456202,2088665.0
1,2005-05-01,1.2899581337999997E9,21.74275779724121,65.99710845947266,1105269.078919124,2092819.0
1,2005-06-01,1.2863741937E9,21.1287841796875,68.81448364257812,1086725.704170242,2096973.0
1,2005-07-01,1.3453833126000001E9,21.1287841796875,69.44668579101562,1133734.8484778462,2101127.0
1,2005-08-01,1.3401146799000003E9,21.1287841796875,68.28556823730469,1130009.8652508496,2105281.0
1,2005-09-01,1.235434104E9,21.1287841796875,56.27878952026367,1068337.7374742858,2109435.0
1,2005-10-01,1.2148714148999999E9,21.1287841796875,40.71041488647461,1061988.5526108306,2113589.0
1,2005-11-01,1.1859943131000001E9,21.1287841796875,46.383365631103516,1023650.6315928368,2117743.0
1,2005-12-01,1.2251118762E9,20.57064437866211,49.07124710083008,1045829.3994001431,2121897.0
1,2006-01-01,1.2754465941E9,20.57064437866211,65.09650421142578,1096486.0830675,2126052.0
1,2006-02-01,1.155379818E9,20.57064437866211,65.94657135009766,1002142.5311715285,2129187.0
1,2006-03-01,1.2880209303E9,20.57064437866211,64.33079528808594,1121040.283758592,2132322.0
1,2006-04-01,1.1993958051E9,20.57064437866211,50.5296745300293,1060340.418938073,2135457.0
1,2006-05-01,1.3507671795E9,20.57064437866211,70.21760559082031,1159508.7903858721,2138592.0
1,2006-06-01,1.3606117395000002E9,22.725175857543945,75.01956939697266,1146087.420148734,2141727.0
1,2006-07-01,1.3836853949999998E9,22.725175857543945,69.52537536621094,1174165.6018362737,2144862.0
1,2006-08-01,1.3595130960000002E9,22.725175857543945,66.92838287353516,1166780.6545242597,2147997.0
1,2006-09-01,1.247758233E9,22.725175857543945,54.90125274658203,1095846.085751384,2151132.0
1,2006-10-01,1.2702482084999998E9,22.725175857543945,54.511024475097656,1117900.4560452402,2154267.0
1,2006-11-01,1.2265438395E9,22.725175857543945,51.555545806884766,1072999.9171549352,2157402.0
1,2006-12-01,1.2455469015000002E9,20.92120933532715,49.68644332885742,1082418.665795647,2160537.0
1,2007-01-01,1.2920055089999998E9,20.92120933532715,64.47404479980469,1133736.681311224,2163680.0
1,2007-02-01,1.258204863E9,20.92120933532715,130.00042724609375,1067912.066524031,2166770.0
1,2007-03-01,1.2917486669999998E9,20.92120933532715,66.13749694824219,1141728.350149022,2169860.0
1,2007-04-01,1.1858156685E9,20.92120933532715,47.599220275878906,1074181.799261983,2172950.0
1,2007-05-01,1.290005415E9,20.92120933532715,58.860130310058594,1150470.1017936652,2176040.0
1,2007-06-01,1.358628675E9,25.399137496948242,69.01787567138672,1164964.112488734,2179130.0
1,2007-07-01,1.431852537E9,25.399137496948242,75.4857406616211,1220116.0554244968,2182220.0
1,2007-08-01,1.374290829E9,25.399137496948242,65.49541473388672,1199901.7714035925,2185310.0
1,2007-09-01,1.2659830784999998E9,25.399137496948242,55.36405563354492,1129658.047297747,2188400.0
1,2007-10-01,1.2899679945E9,25.399137496948242,55.64368438720703,1160860.5179039887,2191490.0
1,2007-11-01,1.2494424209999998E9,25.399137496948242,67.2827377319336,1105890.6629528785,2194580.0
1,2007-12-01,1.2623215559999998E9,21.980531692504883,54.860496520996094,1113277.5857031196,2197670.0
1,2008-01-01,1.3192116855E9,21.980531692504883,77.26579284667969,1190253.458608921,2200764.0
1,2008-02-01,1.2329991179999998E9,21.980531692504883,81.1043930053711,1118916.3431632686,2203837.0
1,2008-03-01,1.3178014095E9,21.980531692504883,99.08145904541016,1185227.341051802,2206910.0
1,2008-04-01,1.2402721409999998E9,21.980531692504883,55.032920837402344,1144228.895660606,2209983.0
1,2008-05-01,1.351864461E9,21.980531692504883,63.17740249633789,1224150.6394251368,2213056.0
1,2008-06-01,1.32589686E9,24.607650756835938,62.003501892089844,1191064.185732173,2216129.0
1,2008-07-01,1.4435403029999998E9,24.607650756835938,72.0154037475586,1263729.1254103407,2219202.0
1,2008-08-01,1.436456439E9,24.607650756835938,68.43163299560547,1262354.1317487175,2222275.0
1,2008-09-01,1.286800125E9,24.607650756835938,57.852142333984375,1171227.6768274596,2225348.0
1,2008-10-01,1.3004075325000002E9,24.607650756835938,53.912776947021484,1199801.2853432975,2228421.0
1,2008-11-01,1.2250324814999998E9,24.607650756835938,47.27351379394531,1127567.8713607634,2231494.0
1,2008-12-01,1.221807507E9,19.423818588256836,39.97153091430664,1136571.087082142,2234567.0
1,2009-01-01,1.3248560564999998E9,19.423818588256836,159.30580139160156,1220777.5071961998,2237642.0
1,2009-02-01,1.2184493939999998E9,19.423818588256836,105.31844329833984,1126734.998565636,2240709.0
1,2009-03-01,1.2728865735E9,19.423818588256836,51.798789978027344,1214129.2905515928,2243776.0
1,2009-04-01,1.2274950329999998E9,19.423818588256836,47.77787399291992,1146597.3425395598,2246843.0
1,2009-05-01,1.334071338E9,19.423818588256836,57.17155075073242,1234041.1255667417,2249910.0
1,2009-06-01,1.357571172E9,27.031938552856445,63.54032516479492,1228528.6817082632,2252977.0
1,2009-07-01,1.401418932E9,27.031938552856445,61.6036491394043,1275981.5313354882,2256044.0
1,2009-08-01,1.351483497E9,27.031938552856445,53.52018737792969,1251972.4357629707,2259111.0
1,2009-09-01,1.2672408135E9,27.031938552856445,46.055397033691406,1191959.1850788307,2262178.0
1,2009-10-01,1.2954396765000002E9,27.031938552856445,47.830772399902344,1219973.1457764758,2265245.0
1,2009-11-01,1.2901446165000002E9,27.031938552856445,85.62798309326172,1174805.9293950384,2268312.0
1,2009-12-01,1.2829244955E9,19.0759220123291,53.07095718383789,1185029.3873058993,2271379.0
1,2010-01-01,1.3073119889999998E9,19.0759220123291,72.32549285888672,1248849.0206630074,2274457.0
1,2010-02-01,1.255215915E9,19.0759220123291,112.46476745605469,1168236.4879345486,2277525.0
1,2010-03-01,1.3100768625E9,19.0759220123291,45.48286437988281,1259569.0031780493,2280593.0
1,2010-04-01,1.2104383095E9,19.0759220123291,39.571128845214844,1182373.5866417873,2283661.0
1,2010-05-01,1.3219547040000002E9,19.0759220123291,50.33897399902344,1275651.4160931355,2286729.0
1,2010-06-01,1.3763328314999998E9,20.311290740966797,62.525352478027344,1291983.9673907051,2289797.0
1,2010-07-01,1.433060862E9,20.311290740966797,63.28514862060547,1337334.1665518528,2292865.0
1,2010-08-01,1.4267922885E9,20.311290740966797,61.79161834716797,1341216.9309229054,2295933.0
1,2010-09-01,1.311516669E9,20.311290740966797,52.43737030029297,1261974.0178992592,2299001.0
1,2010-10-01,1.2707815304999998E9,20.311290740966797,34.20242691040039,1247205.7641684108,2302069.0
1,2010-11-01,1.2393665640000002E9,20.311290740966797,38.80830764770508,1198935.4255695574,2305137.0
1,2010-12-01,1.2370913175E9,15.631447792053223,35.653072357177734,1198184.9255373944,2308205.0
1,2011-01-01,1.295186163E9,15.631447792053223,53.89841079711914,1298269.4975296042,2311283.0
1,2011-02-01,1.1958999E9,15.631447792053223,65.53113555908203,1188556.4992864172,2314356.0
1,2011-03-01,1.2749566679999998E9,15.631447792053223,38.64455032348633,1302948.9421470177,2317429.0
1,2011-04-01,1.1943301304999998E9,15.631447792053223,34.91197204589844,1224254.0729300862,2320502.0
1,2011-05-01,1.350445356E9,15.631447792053223,57.637596130371094,1351476.6972914643,2323575.0
1,2011-06-01,1.35441225E9,15.608854293823242,62.052982330322266,1338351.2891237277,2326648.0
1,2011-07-01,1.4033224454999995E9,15.608854293823242,61.457969665527344,1390849.3115226023,2329721.0
1,2011-08-01,1.346260326E9,15.608854293823242,51.78714370727539,1355390.914882892,2332794.0
1,2011-09-01,1.2700114260000002E9,15.608854293823242,38.66132736206055,1283509.4593210192,2335867.0
1,2011-10-01,1.2777909434999998E9,15.608854293823242,34.1524543762207,1293112.8057413201,2338940.0
1,2011-11-01,1.2386598825000002E9,15.608854293823242,35.72523880004883,1244325.9006180954,2342013.0
1,2011-12-01,1.259844423E9,13.418187141418457,34.14720916748047,1259355.2826876058,2345086.0
1,2012-01-01,1.3275556515000002E9,13.418187141418457,66.43286895751953,1361197.7352391146,2348162.0
1,2012-02-01,1.2652240335000002E9,13.418187141418457,60.56974792480469,1310936.932926357,2351241.0
1,2012-03-01,1.2588614625E9,13.418187141418457,34.183780670166016,1335539.5388230355,2354320.0
1,2012-04-01,1.1946938939999998E9,13.418187141418457,35.7388916015625,1268235.8905152206,2357399.0
1,2012-05-01,1.3538432115E9,13.418187141418457,54.8770637512207,1421424.879810876,2360478.0
1,2012-06-01,1.3462067385000002E9,15.439715385437012,64.09009552001953,1395025.3349175511,2363557.0
1,2012-07-01,1.377130881E9,15.439715385437012,61.864532470703125,1431623.721360703,2366636.0
1,2012-08-01,1.3702286205E9,15.439715385437012,53.889617919921875,1431164.3049319661,2369715.0
1,2012-09-01,1.2304071779999995E9,15.439715385437012,31.98126220703125,1303167.0660577058,2372794.0
1,2012-10-01,1.268098905E9,15.439715385437012,27.83974838256836,1263474.606788064,2375873.0
1,2012-11-01,1.236299376E9,15.439715385437012,39.071903228759766,1211131.8228848518,2378952.0
1,2012-12-01,1.253671983E9,12.806921005249023,35.63936233520508,1217931.957110072,2382031.0
1,2013-01-01,1.3044592559999995E9,12.806921005249023,52.03944778442383,1291518.5158573475,2385121.0
1,2013-02-01,1.2466622219999998E9,12.806921005249023,66.49609375,1235403.2583386747,2388208.0
1,2013-03-01,1.344928209E9,12.806921005249023,73.53509521484375,1331888.0784307062,2391295.0
1,2013-04-01,1.205613372E9,12.806921005249023,28.437475204467773,1232235.3309792017,2394382.0
1,2013-05-01,1.336525326E9,12.806921005249023,41.39228057861328,1372681.9029289507,2397469.0
1,2013-06-01,1.321669872E9,15.335051536560059,50.493690490722656,1348852.6761957388,2400556.0
1,2013-07-01,1.3761827085E9,15.335051536560059,45.963897705078125,1407725.2281158222,2403643.0
1,2013-08-01,1.3688050755E9,15.335051536560059,39.901588439941406,1396093.9376500032,2406730.0
1,2013-09-01,1.2229956509999998E9,15.335051536560059,28.13022232055664,1238002.7548074634,2409817.0
1,2013-10-01,1.2747464684999998E9,15.335051536560059,27.122892379760742,1282914.91635514,2412904.0
1,2013-11-01,1.2089775629999998E9,15.335051536560059,27.718544006347656,1204822.7017203495,2415991.0
1,2013-12-01,1.2238757759999998E9,9.964248657226562,36.862998962402344,1178840.1041095506,2419078.0
1,2014-01-01,1.3550266725E9,9.964248657226562,123.36614227294922,1316454.2452051726,2422176.0
1,2014-02-01,1.220999079E9,9.964248657226562,57.997337341308594,1225354.5007380121,2425272.0
1,2014-03-01,1.256194236E9,9.964248657226562,31.859285354614258,1277271.9186243578,2428368.0
1,2014-04-01,1.1871444075E9,9.964248657226562,30.089561462402344,1213527.1757767692,2431464.0
1,2014-05-01,1.277573487E9,9.964248657226562,32.59348678588867,1324306.8164900725,2434560.0
1,2014-06-01,1.305031998E9,15.639294624328613,40.891475677490234,1357821.0768808438,2437656.0
