year,region,lga_code,lga_name,vifsa_district,couple_with_children,couple_without_children,one_parent_family,other_family,group_household,lone_person,all_household_types
2016,48 Regional LGAs,25430,Mount Alexander (S),VIFSA Castlemaine Town,974,1231,529,42,184,1686,4647
2016,48 Regional LGAs,25430,Mount Alexander (S),VIFSA Mount Alexander Rural,903,1271,296,23,124,1082,3699
2016,48 Regional LGAs,25490,Moyne (S),VIFSA Macarthur-Port Fairy District,1172,1298,327,31,85,1032,3945
2016,48 Regional LGAs,25490,Moyne (S),VIFSA Mortlake-Woolsthorpe District,892,893,245,26,59,755,2870
2016,48 Regional LGAs,25620,Murrindindi (S),VIFSA Alexandra District,617,1120,197,9,81,1061,3085
2016,48 Regional LGAs,25620,Murrindindi (S),VIFSA Kinglake-Yea District,951,1014,270,11,64,860,3170
2016,31 Metropolitan LGAS,25710,Nillumbik (S),VIFSA Eltham-Kangaroo Ground District,5088,2825,956,66,132,1704,10771
2016,31 Metropolitan LGAS,25710,Nillumbik (S),VIFSA Hurstbridge-St Andrews District,1415,889,295,13,49,554,3214
2016,31 Metropolitan LGAS,25710,Nillumbik (S),VIFSA Plenty-Wattle Glen District,4033,1985,740,53,104,1042,7956
2016,48 Regional LGAs,25810,Northern Grampians (S),VIFSA St Arnaud District,322,498,132,8,38,580,1578
2016,48 Regional LGAs,25810,Northern Grampians (S),VIFSA Stawell District,827,1155,319,31,140,1215,3687
2016,31 Metropolitan LGAS,25900,Port Phillip (C),VIFSA Albert Park-Port Melbourne District,4335,6811,1500,361,1551,8125,22682
2016,31 Metropolitan LGAS,25900,Port Phillip (C),VIFSA Elwood-St Kilda District,4357,8424,1694,480,3658,14079,32692
2016,48 Regional LGAs,25990,Pyrenees (S),VIFSA Avoca-Landsborough District,303,494,113,6,41,480,1438
2016,48 Regional LGAs,25990,Pyrenees (S),VIFSA Beaufort-Snake Valley District,436,525,125,0,40,547,1673
2016,48 Regional LGAs,26080,Queenscliffe (B),VIFSA Queenscliffe Borough,274,540,93,1,11,439,1359
2016,48 Regional LGAs,26170,South Gippsland (S),VIFSA Korumburra District,1043,1190,332,23,63,1001,3652
2016,48 Regional LGAs,26170,South Gippsland (S),VIFSA Leongatha District,1328,1484,436,24,98,1321,4691
2016,48 Regional LGAs,26170,South Gippsland (S),VIFSA Promontory District,900,1455,296,20,106,1430,4206
2016,48 Regional LGAs,26260,Southern Grampians (S),VIFSA Hamilton Town,1072,1340,434,22,114,1573,4554
2016,48 Regional LGAs,26260,Southern Grampians (S),VIFSA Southern Grampians Rural,753,835,194,8,36,746,2572
2016,31 Metropolitan LGAS,26350,Stonnington (C),VIFSA Malvern District,5675,4299,1256,288,1177,4777,17472
2016,31 Metropolitan LGAS,26350,Stonnington (C),VIFSA Prahran-Toorak District,4847,9762,1836,632,4051,13426,34554
2016,48 Regional LGAs,26430,Strathbogie (S),VIFSA Strathbogie Shire,1002,1635,397,23,115,1625,4797
2016,48 Regional LGAs,26490,Surf Coast (S),VIFSA Surf Coast Rural,1332,1577,351,29,105,1209,4602
2016,48 Regional LGAs,26490,Surf Coast (S),VIFSA Torquay Town,2807,2144,579,55,260,1397,7241
2016,48 Regional LGAs,26610,Swan Hill (RC),VIFSA Robinvale Town,379,346,131,17,71,321,1265
2016,48 Regional LGAs,26610,Swan Hill (RC),VIFSA Swan Hill Rural,825,838,188,11,67,664,2593
2016,48 Regional LGAs,26610,Swan Hill (RC),VIFSA Swan Hill Town,1197,1291,526,64,201,1506,4786
2016,48 Regional LGAs,26670,Towong (S),VIFSA Towong Shire,620,974,169,12,68,875,2717
2016,48 Regional LGAs,26700,Wangaratta (RC),VIFSA Wangaratta Rural,1252,1428,249,25,79,894,3928
2016,48 Regional LGAs,26700,Wangaratta (RC),VIFSA Wangaratta Town,1935,2253,982,86,251,2859,8366
2016,48 Regional LGAs,26730,Warrnambool (C),VIFSA Warrnambool City,3808,3934,1607,134,608,4330,14421
2016,48 Regional LGAs,26810,Wellington (S),VIFSA Heyfield-Maffra District,1649,1853,552,41,125,1647,5868
2016,48 Regional LGAs,26810,Wellington (S),VIFSA Rosedale District,984,1214,245,23,93,971,3530
2016,48 Regional LGAs,26810,Wellington (S),VIFSA Sale Town,1666,1712,724,57,212,2065,6436
2016,48 Regional LGAs,26810,Wellington (S),VIFSA Yarram District,521,840,224,12,73,871,2540
2016,48 Regional LGAs,26890,West Wimmera (S),VIFSA West Wimmera Shire,440,591,107,15,24,639,1816
2016,31 Metropolitan LGAS,26980,Whitehorse (C),VIFSA Blackburn-Forest Hill District,7611,5043,2074,267,906,4896,20797
2016,31 Metropolitan LGAS,26980,Whitehorse (C),VIFSA Box Hill District,7573,5355,2331,450,1988,6286,23984
2016,31 Metropolitan LGAS,26980,Whitehorse (C),VIFSA Nunawading-Vermont District,7381,5057,1830,202,610,4363,19441
2016,31 Metropolitan LGAS,27070,Whittlesea (C),VIFSA Epping-Whittlesea District,18363,8334,4826,375,805,5790,38493
2016,31 Metropolitan LGAS,27070,Whittlesea (C),VIFSA Lalor-Thomastown District,5837,4019,2398,314,412,3115,16094
2016,31 Metropolitan LGAS,27070,Whittlesea (C),VIFSA Mill Park District,6565,3765,1818,251,732,2907,16038
2016,48 Regional LGAs,27170,Wodonga (C),VIFSA Wodonga Rural City,4619,4408,2125,137,522,4300,16112
2016,31 Metropolitan LGAS,27260,Wyndham (C),VIFSA Hoppers Crossing-Truganina District,16378,7051,3883,381,868,4612,33174
2016,31 Metropolitan LGAS,27260,Wyndham (C),VIFSA Point Cook-Werribee South District,10653,4597,2124,207,551,2937,21068
2016,31 Metropolitan LGAS,27260,Wyndham (C),VIFSA Werribee-Wyndham Vale District,7841,4327,3085,224,591,4050,20117
2016,31 Metropolitan LGAS,27350,Yarra (C),VIFSA Abbotsford-Fitzroy District,4578,7778,1923,457,4140,9031,27907
2016,31 Metropolitan LGAS,27350,Yarra (C),VIFSA Burnley-Richmond District,2368,4416,1155,334,2238,5279,15790
2016,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Belgrave-Olinda District,4434,3200,1176,86,273,2177,11347
2016,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Healesville District,1771,1610,654,35,120,1398,5588
2016,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Kilsyth-Lilydale District,11072,7873,3473,280,581,6046,29326
2016,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Monbulk-Seville District,2084,1468,486,35,88,824,4987
2016,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Upper Yarra Valley District,34,27,8,0,1,19,90
2016,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Warburton-Yarra Junction District,2002,1740,891,43,192,1749,6618
2016,48 Regional LGAs,27630,Yarriambiack (S),VIFSA Yarriambiack Shire,640,977,276,12,78,1086,3071
2016,48 Regional LGAs,29399,Unincorporated Vic,VIFSA Unincorporated Vic,88,137,30,2,11,127,395
2016,48 Regional LGAs,20110,Alpine (S),,1275,1849,488,38,159,1770,5580
2016,48 Regional LGAs,20260,Ararat (RC),,1126,1509,463,45,148,1560,4852
2016,48 Regional LGAs,20570,Ballarat (C),,11460,10900,5285,439,2143,13034,43261
